title,movie_rating,release_date,genre_name,director,writer,actors,imdb_rating,box_office,run_time
Donkey Punch,R,2008-07-18,Crime,Olly Blackburn,Olly Blackburn,Sian Breckin,5.1,0.0,99.0
The Eye,PG-13,2008-02-01,Drama,David Moreau,Sebastian Gutierrez,Jessica Alba,5.4,12000000.0,98.0
The Love Guru,PG-13,2008-06-20,Comedy,Marco Schnabel,Mike Myers,Mike Myers,3.8,62000000.0,87.0
The Informers,R,2009-04-24,Crime,Gregor Jordan,Bret Easton Ellis,Billy Bob Thornton,5.0,18000000.0,98.0
The X Files: I Want to Believe,PG-13,2008-07-25,Crime,Chris Carter,Frank Spotnitz,David Duchovny,5.9,30000000.0,104.0
Asterix at the Olympic Games,Not Rated,2008-06-13,Adventure,Frédéric Forestier,René Goscinny,Gérard Depardieu,5.2,0.0,116.0
Wendy and Lucy,R,2009-03-06,Drama,Kelly Reichardt,Jonathan Raymond,Michelle Williams,7.1,200000.0,80.0
Tokyo!,Unrated,2008-08-16,Comedy,Leos Carax,Gabrielle Bell,Ayako Fujitani,7.1,0.0,112.0
One Missed Call,PG-13,2008-01-04,Horror,Eric Valette,Andrew Klavan,Edward Burns,4.0,20000000.0,87.0
Transsiberian,R,2008-09-05,Crime,Brad Anderson,Brad Anderson,Woody Harrelson,6.7,15000000.0,111.0
Lakeview Terrace,PG-13,2008-09-19,Crime,Neil LaBute,David Loughery,Samuel L. Jackson,6.1,20000000.0,110.0
Fireproof,PG,2008-09-26,Drama,Alex Kendrick,Alex Kendrick,Kirk Cameron,6.5,500000.0,122.0
Traitor,PG-13,2008-08-27,Action,Jeffrey Nachmanoff,Jeffrey Nachmanoff,Don Cheadle,7.0,22000000.0,114.0
My Best Friend's Girl,R,2008-09-19,Comedy,Howard Deutch,Jordan Cahan,Kate Hudson,5.9,20000000.0,101.0
"New York, I Love You",R,2009-10-16,Comedy,Directors,Hu Hong,Shia LaBeouf,6.2,14700000.0,103.0
Nothing But the Truth,R,2009-07-29,Crime,Rod Lurie,Rod Lurie,Kate Beckinsale,7.2,11500000.0,108.0
Cadillac Records,R,2008-12-05,Biography,Darnell Martin,Darnell Martin,Adrien Brody,7.0,12000000.0,109.0
Pontypool,Not Rated,2009-09-18,Fantasy,Bruce McDonald,Tony Burgess,Stephen McHattie,6.6,1500000.0,93.0
Happy-Go-Lucky,R,2008-11-21,Comedy,Mike Leigh,Mike Leigh,Sally Hawkins,7.0,0.0,118.0
Beverly Hills Chihuahua,PG,2008-10-03,Adventure,Raja Gosnell,Analisa LaBianco,Drew Barrymore,3.8,20000000.0,91.0
Waltz with Bashir,R,2008-06-12,Animation,Ari Folman,Ari Folman,Ari Folman,8.0,1500000.0,90.0
Redbelt,R,2008-05-09,Drama,David Mamet,David Mamet,Chiwetel Ejiofor,6.7,7000000.0,99.0
Departures,PG-13,2009-06-19,Drama,Yôjirô Takita,Kundô Koyama,Masahiro Motoki,8.1,0.0,130.0
Mad Money,PG-13,2008-01-18,Comedy,Callie Khouri,Glenn Gers,Diane Keaton,5.8,22000000.0,104.0
The Burning Plain,R,2009-11-05,Crime,Guillermo Arriaga,Guillermo Arriaga,Charlize Theron,6.8,20000000.0,107.0
Brideshead Revisited,PG-13,2008-08-15,Drama,Julian Jarrold,Andrew Davies,Matthew Goode,6.7,20000000.0,133.0
The Tale of Despereaux,G,2008-12-19,Animation,Sam Fell,Kate DiCamillo,Matthew Broderick,6.1,60000000.0,93.0
Meet the Browns,PG-13,2008-03-21,Comedy,Tyler Perry,Tyler Perry,Tamela J. Mann,4.4,0.0,100.0
Pathology,R,2008-04-11,Crime,Marc Schölermann,Mark Neveldine,Alyssa Milano,6.0,8000000.0,95.0
Chaos Theory,PG-13,2008-10-16,Comedy,Marcos Siega,Daniel Taplitz,Ryan Reynolds,6.6,0.0,87.0
Be Kind Rewind,PG-13,2008-02-22,Comedy,Michel Gondry,Michel Gondry,Jack Black,6.4,20000000.0,102.0
The Express,PG,2008-10-10,Biography,Gary Fleder,Charles Leavitt,Rob Brown,7.3,40000000.0,130.0
Easy Virtue,PG-13,2009-06-19,Comedy,Stephan Elliott,Stephan Elliott,Jessica Biel,6.7,0.0,97.0
The Baader Meinhof Complex,R,2008-09-25,Action,Uli Edel,Bernd Eichinger,Martina Gedeck,7.4,0.0,150.0
What Just Happened,R,2008-10-31,Comedy,Barry Levinson,Art Linson,Robert De Niro,5.6,25000000.0,104.0
Meet Dave,PG,2008-07-11,Adventure,Brian Robbins,Rob Greenberg,Eddie Murphy,5.0,60000000.0,90.0
JCVD,R,2019-08-02,Action,Mabrouk El Mechri,Mabrouk El Mechri,Jean-Claude Van Damme,7.1,0.0,97.0
Hell Ride,R,2009-01-17,Action,Larry Bishop,Larry Bishop,Larry Bishop,5.1,0.0,84.0
Igor,PG,2008-09-19,Animation,Tony Leondis,Chris McKenna,John Cusack,6.0,25000000.0,87.0
The Wackness,R,2008-08-01,Comedy,Jonathan Levine,Jonathan Levine,Josh Peck,7.0,6000000.0,99.0
CJ7,PG,2008-01-30,Comedy,Stephen Chow,Stephen Chow,Stephen Chow,6.4,0.0,88.0
