name,rating,genre,score,director,writer,star,budget,Run,released
Mind Game,TV-MA,Animation,7.8,Masaaki Yuasa,Robin Nishi,Kôji Imada,0.0,103.0,2005-06-26
As It Is in Heaven,Not Rated,Comedy,7.5,Kay Pollak,Anders Nyberg,Michael Nyqvist,0.0,133.0,2004-09-03
Palindromes,Not Rated,Comedy,6.7,Todd Solondz,Todd Solondz,Jennifer Jason Leigh,0.0,100.0,2005-01-21
Dhoom,Not Rated,Action,6.7,Sanjay Gadhvi,Vijay Krishna Acharya,Abhishek Bachchan,0.0,129.0,2004-08-27
Welcome to Mooseport,PG-13,Comedy,5.2,Donald Petrie,Doug Richardson,Gene Hackman,30000000.0,110.0,2004-02-20
Ghost in the Shell 2: Innocence,PG-13,Animation,7.5,Mamoru Oshii,Shirow Masamune,Akio Ôtsuka,0.0,100.0,2004-09-24
Clifford's Really Big Movie,G,Animation,5.4,Robert C. Ramirez,Rhett Reese,John Ritter,70000.0,74.0,2004-04-23
Summer Storm,R,Comedy,7.2,Marco Kreuzpaintner,Thomas Bahmann,Robert Stadlober,0.0,98.0,2004-09-02
Melinda and Melinda,PG-13,Comedy,6.4,Woody Allen,Woody Allen,Will Ferrell,0.0,99.0,2005-04-08
Harry Potter and the Goblet of Fire,PG-13,Adventure,7.7,Mike Newell,Steve Kloves,Daniel Radcliffe,150000000.0,157.0,2005-11-18
The 40-Year-Old Virgin,R,Comedy,7.1,Judd Apatow,Judd Apatow,Steve Carell,26000000.0,116.0,2005-08-19
Memoirs of a Geisha,PG-13,Drama,7.3,Rob Marshall,Robin Swicord,Ziyi Zhang,85000000.0,145.0,2005-12-23
Pride & Prejudice,PG,Drama,7.8,Joe Wright,Deborah Moggach,Keira Knightley,28000000.0,129.0,2005-11-23
Batman Begins,PG-13,Action,8.2,Christopher Nolan,Bob Kane,Christian Bale,150000000.0,140.0,2005-06-15
The Descent,R,Adventure,7.2,Neil Marshall,Neil Marshall,Shauna Macdonald,0.0,99.0,2006-08-04
Brokeback Mountain,R,Drama,7.7,Ang Lee,Annie Proulx,Jake Gyllenhaal,14000000.0,134.0,2006-01-13
Sin City,R,Crime,8.0,Frank Miller,Frank Miller,Mickey Rourke,40000000.0,124.0,2005-04-01
Charlie and the Chocolate Factory,PG,Adventure,6.6,Tim Burton,Roald Dahl,Johnny Depp,150000000.0,115.0,2005-07-15
V for Vendetta,R,Action,8.1,James McTeigue,Lilly Wachowski,Hugo Weaving,54000000.0,132.0,2006-03-17
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,Adventure,6.9,Andrew Adamson,Ann Peacock,Tilda Swinton,180000000.0,143.0,2005-12-09
Wedding Crashers,R,Comedy,6.9,David Dobkin,Steve Faber,Owen Wilson,40000000.0,119.0,2005-07-15
War of the Worlds,PG-13,Adventure,6.5,Steven Spielberg,Josh Friedman,Tom Cruise,132000000.0,116.0,2005-06-29
Kingdom of Heaven,R,Action,7.2,Ridley Scott,William Monahan,Orlando Bloom,130000000.0,144.0,2005-05-06
Constantine,R,Action,7.0,Francis Lawrence,Jamie Delano,Keanu Reeves,100000000.0,121.0,2005-02-18
Star Wars: Episode III - Revenge of the Sith,PG-13,Action,7.5,George Lucas,George Lucas,Hayden Christensen,113000000.0,140.0,2005-05-19
King Kong,PG-13,Action,7.2,Peter Jackson,Fran Walsh,Naomi Watts,207000000.0,187.0,2005-12-14
The Hitchhiker's Guide to the Galaxy,PG,Adventure,6.7,Garth Jennings,Douglas Adams,Martin Freeman,50000000.0,109.0,2005-04-29
Fantastic Four,PG-13,Action,5.7,Tim Story,Mark Frost,Ioan Gruffudd,100000000.0,106.0,2005-07-08
Green Street Hooligans,R,Crime,7.4,Lexi Alexander,Lexi Alexander,Elijah Wood,0.0,109.0,2005-09-09
Serenity,PG-13,Action,7.8,Joss Whedon,Joss Whedon,Nathan Fillion,39000000.0,119.0,2005-09-30
Mr. & Mrs. Smith,PG-13,Action,6.5,Doug Liman,Simon Kinberg,Brad Pitt,110000000.0,120.0,2005-06-10
The Island,PG-13,Action,6.8,Michael Bay,Caspian Tredwell-Owen,Scarlett Johansson,126000000.0,136.0,2005-07-22
Waiting...,R,Comedy,6.7,Rob McKittrick,Rob McKittrick,Ryan Reynolds,3000000.0,94.0,2005-10-07
Match Point,R,Drama,7.6,Woody Allen,Woody Allen,Scarlett Johansson,15000000.0,124.0,2006-01-20
Hostel,R,Horror,5.9,Eli Roth,Eli Roth,Jay Hernandez,4800000.0,94.0,2006-01-06
Sky High,PG,Adventure,6.2,Mike Mitchell,Paul Hernandez,Kurt Russell,35000000.0,100.0,2005-07-29
Assault on Precinct 13,R,Action,6.3,Jean-François Richet,John Carpenter,Ethan Hawke,30000000.0,109.0,2005-01-19
Madagascar,PG,Animation,6.9,Eric Darnell,Mark Burton,Chris Rock,75000000.0,86.0,2005-05-27
Hard Candy,R,Drama,7.1,David Slade,Brian Nelson,Patrick Wilson,950000.0,104.0,2006-04-28
The Sisterhood of the Traveling Pants,PG,Comedy,6.5,Ken Kwapis,Ann Brashares,Amber Tamblyn,25000000.0,119.0,2005-06-01
The Longest Yard,PG-13,Comedy,6.4,Peter Segal,Albert S. Ruddy,Adam Sandler,82000000.0,113.0,2005-05-27
Red Eye,PG-13,Thriller,6.5,Wes Craven,Carl Ellsworth,Rachel McAdams,26000000.0,85.0,2005-08-19
House of Wax,R,Horror,5.4,Jaume Collet-Serra,Charles Belden,Chad Michael Murray,40000000.0,113.0,2005-05-06
Four Brothers,R,Action,6.8,John Singleton,David Elliot,Mark Wahlberg,45000000.0,109.0,2005-07-01
The Dukes of Hazzard,PG-13,Comedy,5.1,Jay Chandrasekhar,Gy Waldron,Seann William Scott,50000000.0,104.0,2005-08-05
The Interpreter,PG-13,Crime,6.4,Sydney Pollack,Martin Stellman,Nicole Kidman,80000000.0,128.0,2005-04-22
Walk the Line,PG-13,Biography,7.8,James Mangold,Johnny Cash,Joaquin Phoenix,28000000.0,136.0,2005-11-18
Lords of Dogtown,PG-13,Biography,7.1,Catherine Hardwicke,Stacy Peralta,Heath Ledger,25000000.0,107.0,2005-06-03
Munich,R,Action,7.5,Steven Spielberg,Tony Kushner,Eric Bana,70000000.0,164.0,2006-01-06
Kiss Kiss Bang Bang,R,Comedy,7.5,Shane Black,Brett Halliday,Robert Downey Jr.,15000000.0,103.0,2005-11-18
The Constant Gardener,R,Drama,7.4,Fernando Meirelles,Jeffrey Caine,Ralph Fiennes,25000000.0,129.0,2005-08-31
The Pacifier,PG,Action,5.6,Adam Shankman,Thomas Lennon,Vin Diesel,56000000.0,95.0,2005-03-04
A History of Violence,R,Drama,7.4,David Cronenberg,John Wagner,Viggo Mortensen,32000000.0,96.0,2005-09-30
The Devil's Rejects,R,Horror,6.8,Rob Zombie,Rob Zombie,Sid Haig,7000000.0,107.0,2005-07-22
Hitch,PG-13,Comedy,6.6,Andy Tennant,Kevin Bisch,Will Smith,70000000.0,118.0,2005-02-11
Mirrormask,PG,Adventure,6.8,Dave McKean,Neil Gaiman,Stephanie Leonidas,4000000.0,101.0,2006-03-03
Rent,PG-13,Drama,6.9,Chris Columbus,Stephen Chbosky,Taye Diggs,40000000.0,135.0,2005-11-23
Robots,PG,Animation,6.3,Chris Wedge,Ron Mita,Ewan McGregor,75000000.0,91.0,2005-03-11
Jarhead,R,Action,7.0,Sam Mendes,William Broyles Jr.,Jake Gyllenhaal,72000000.0,125.0,2005-11-04
Into the Blue,PG-13,Action,5.9,John Stockwell,Matt Johnson,Paul Walker,50000000.0,110.0,2005-09-30
Saw II,R,Horror,6.6,Darren Lynn Bousman,Leigh Whannell,Donnie Wahlberg,4000000.0,93.0,2005-10-28
Revolver,R,Action,6.4,Guy Ritchie,Luc Besson,Jason Statham,0.0,111.0,2005-09-22
Flightplan,PG-13,Drama,6.3,Robert Schwentke,Peter A. Dowling,Jodie Foster,55000000.0,98.0,2005-09-23
Coach Carter,PG-13,Biography,7.3,Thomas Carter,Mark Schwahn,Samuel L. Jackson,30000000.0,136.0,2005-01-14
Dark Water,PG-13,Drama,5.6,Walter Salles,Kôji Suzuki,Jennifer Connelly,30000000.0,105.0,2005-07-08
Lord of War,R,Action,7.6,Andrew Niccol,Andrew Niccol,Nicolas Cage,50000000.0,122.0,2005-09-16
Zathura: A Space Adventure,PG,Action,6.2,Jon Favreau,Chris Van Allsburg,Josh Hutcherson,65000000.0,101.0,2005-11-11
The Quiet,R,Crime,6.2,Jamie Babbit,Abdi Nazemian,Camilla Belle,900000.0,96.0,2006-08-25
The Amityville Horror,R,Horror,6.0,Andrew Douglas,Scott Kosar,Ryan Reynolds,19000000.0,90.0,2005-04-15
Be Cool,PG-13,Comedy,5.6,F. Gary Gray,Elmore Leonard,John Travolta,53000000.0,118.0,2005-03-04
Just Friends,PG-13,Comedy,6.2,Roger Kumble,Adam 'Tex' Davis,Ryan Reynolds,0.0,96.0,2005-11-23
"Yours, Mine & Ours",PG,Comedy,5.5,Raja Gosnell,Ron Burch,Dennis Quaid,45000000.0,88.0,2005-11-23
Cinderella Man,PG-13,Biography,8.0,Ron Howard,Cliff Hollingsworth,Russell Crowe,88000000.0,144.0,2005-06-03
Nanny McPhee,PG,Comedy,6.6,Kirk Jones,Emma Thompson,Emma Thompson,25000000.0,97.0,2006-01-27
The Brothers Grimm,PG-13,Action,5.9,Terry Gilliam,Ehren Kruger,Matt Damon,88000000.0,118.0,2005-08-26
Sahara,PG-13,Action,6.0,Breck Eisner,Clive Cussler,Matthew McConaughey,130000000.0,124.0,2005-04-08
Corpse Bride,PG,Animation,7.3,Tim Burton,Tim Burton,Johnny Depp,40000000.0,77.0,2005-09-23
Transporter 2,R,Action,6.3,Louis Leterrier,Luc Besson,Jason Statham,32000000.0,87.0,2005-09-02
Two for the Money,R,Crime,6.3,D.J. Caruso,Dan Gilroy,Matthew McConaughey,35000000.0,122.0,2005-10-07
The New World,PG-13,Biography,6.7,Terrence Malick,Terrence Malick,Colin Farrell,30000000.0,135.0,2006-01-20
Brick,R,Action,7.3,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt,475000.0,110.0,2006-04-14
Wolf Creek,R,Horror,6.2,Greg McLean,Greg McLean,Nathan Phillips,1000000.0,99.0,2005-12-25
Breakfast on Pluto,R,Comedy,7.2,Neil Jordan,Neil Jordan,Cillian Murphy,0.0,128.0,2006-01-06
The Exorcism of Emily Rose,PG-13,Drama,6.7,Scott Derrickson,Paul Harris Boardman,Laura Linney,19000000.0,119.0,2005-09-09
Elektra,PG-13,Action,4.7,Rob Bowman,Mark Steven Johnson,Jennifer Garner,43000000.0,97.0,2005-01-14
Doom,R,Action,5.2,Andrzej Bartkowiak,Dave Callaham,Karl Urban,60000000.0,105.0,2005-10-21
The Legend of Zorro,PG,Action,6.0,Martin Campbell,Roberto Orci,Antonio Banderas,75000000.0,129.0,2005-10-28
Cheaper by the Dozen 2,PG,Adventure,5.5,Adam Shankman,Sam Harper,Steve Martin,60000000.0,94.0,2005-12-21
Æon Flux,PG-13,Action,5.5,Karyn Kusama,Phil Hay,Charlize Theron,62000000.0,93.0,2005-12-02
Son of the Mask,PG,Comedy,2.2,Lawrence Guterman,Lance Khazei,Jamie Kennedy,84000000.0,94.0,2005-02-18
Rumor Has It...,PG-13,Comedy,5.5,Rob Reiner,Ted Griffin,Jennifer Aniston,70000000.0,97.0,2005-12-25
The Producers,PG-13,Comedy,6.3,Susan Stroman,Mel Brooks,Nathan Lane,45000000.0,134.0,2005-12-25
The Ringer,PG-13,Comedy,5.8,Barry W. Blaustein,Ricky Blitt,Johnny Knoxville,0.0,94.0,2005-12-23
Kicking & Screaming,PG,Comedy,5.6,Jesse Dylan,Leo Benvenuti,Will Ferrell,45000000.0,95.0,2005-05-13
The Cave,PG-13,Action,5.1,Bruce Hunt,Michael Steinberg,Piper Perabo,30000000.0,97.0,2005-08-26
Lady Vengeance,R,Crime,7.6,Park Chan-Wook,Park Chan-Wook,Nam-mi Kang,0.0,115.0,2005-07-29
Broken Flowers,R,Comedy,7.2,Jim Jarmusch,Jim Jarmusch,Bill Murray,10000000.0,106.0,2005-08-26
Fun with Dick and Jane,PG-13,Comedy,6.2,Dean Parisot,Judd Apatow,Jim Carrey,100000000.0,90.0,2005-12-21
Imagine Me & You,R,Comedy,6.8,Ol Parker,Ol Parker,Piper Perabo,7900000.0,90.0,2006-05-25
The Family Stone,PG-13,Comedy,6.3,Thomas Bezucha,Thomas Bezucha,Dermot Mulroney,18000000.0,103.0,2005-12-16
Just Like Heaven,PG-13,Comedy,6.7,Mark Waters,Peter Tolan,Reese Witherspoon,58000000.0,95.0,2005-09-16
Capote,R,Biography,7.3,Bennett Miller,Dan Futterman,Philip Seymour Hoffman,7000000.0,114.0,2006-02-03
The Skeleton Key,PG-13,Drama,6.5,Iain Softley,Ehren Kruger,Kate Hudson,43000000.0,104.0,2005-08-12
The Squid and the Whale,R,Comedy,7.3,Noah Baumbach,Noah Baumbach,Owen Kline,1500000.0,81.0,2005-12-16
Land of the Dead,R,Horror,6.2,George A. Romero,George A. Romero,John Leguizamo,15000000.0,93.0,2005-06-24
Man of the House,PG-13,Comedy,5.4,Stephen Herek,John J. McLaughlin,Tommy Lee Jones,40000000.0,100.0,2005-02-25
Elizabethtown,PG-13,Comedy,6.4,Cameron Crowe,Cameron Crowe,Orlando Bloom,45000000.0,123.0,2005-10-14
Chicken Little,G,Animation,5.7,Mark Dindal,Mark Dindal,Zach Braff,150000000.0,81.0,2005-11-04
Monster-in-Law,PG-13,Comedy,5.6,Robert Luketic,Anya Kochoff,Jennifer Lopez,43000000.0,101.0,2005-05-13
Domino,R,Action,5.9,Tony Scott,Richard Kelly,Keira Knightley,50000000.0,127.0,2005-10-14
The Ring Two,PG-13,Horror,5.4,Hideo Nakata,Ehren Kruger,Naomi Watts,50000000.0,110.0,2005-03-18
London,R,Drama,6.5,Hunter Richards,Hunter Richards,Jessica Biel,0.0,92.0,2006-02-10
Deuce Bigalow: European Gigolo,R,Comedy,4.7,Mike Bigelow,Harris Goldberg,Rob Schneider,22000000.0,83.0,2005-08-12
Harsh Times,R,Action,6.9,David Ayer,David Ayer,Christian Bale,2000000.0,116.0,2006-11-10
Diary of a Mad Black Woman,PG-13,Comedy,5.8,Darren Grant,Tyler Perry,Kimberly Elise,5500000.0,116.0,2005-02-25
Herbie Fully Loaded,G,Adventure,4.8,Angela Robinson,Thomas Lennon,Lindsay Lohan,50000000.0,101.0,2005-06-22
Wallace & Gromit: The Curse of the Were-Rabbit,G,Animation,7.4,Steve Box,Steve Box,Peter Sallis,30000000.0,85.0,2005-10-07
Casanova,R,Adventure,6.5,Lasse Hallström,Jeffrey Hatcher,Heath Ledger,0.0,112.0,2006-01-06
The Jacket,R,Drama,7.1,John Maybury,Tom Bleecker,Adrien Brody,29000000.0,103.0,2005-03-04
The Wedding Date,PG-13,Comedy,6.2,Clare Kilner,Elizabeth Young,Dermot Mulroney,15000000.0,90.0,2005-02-04
Thank You for Smoking,R,Comedy,7.6,Jason Reitman,Jason Reitman,Aaron Eckhart,6500000.0,92.0,2006-04-14
Hide and Seek,R,Drama,6.0,John Polson,Ari Schlossberg,Robert De Niro,30000000.0,101.0,2005-01-28
Cursed,PG-13,Comedy,5.0,Wes Craven,Kevin Williamson,Christina Ricci,38000000.0,97.0,2005-02-25
Miss Congeniality 2: Armed & Fabulous,PG-13,Action,5.1,John Pasquin,Marc Lawrence,Sandra Bullock,45000000.0,115.0,2005-03-24
Bad News Bears,PG-13,Comedy,5.8,Richard Linklater,Bill Lancaster,Billy Bob Thornton,35000000.0,113.0,2005-07-22
Fever Pitch,PG-13,Comedy,6.2,Bobby Farrelly,Lowell Ganz,Drew Barrymore,30000000.0,104.0,2005-04-08
Kinky Boots,PG-13,Comedy,7.1,Julian Jarrold,Geoff Deane,Chiwetel Ejiofor,0.0,107.0,2006-05-26
xXx: State of the Union,PG-13,Action,4.5,Lee Tamahori,Rich Wilkes,Ice Cube,113000000.0,101.0,2005-04-29
Syriana,R,Drama,6.9,Stephen Gaghan,Stephen Gaghan,George Clooney,50000000.0,128.0,2005-12-09
North Country,R,Drama,7.3,Niki Caro,Michael Seitzman,Charlize Theron,35000000.0,126.0,2005-10-21
Derailed,R,Crime,6.6,Mikael Håfström,Stuart Beattie,Clive Owen,22000000.0,108.0,2005-11-11
Romance & Cigarettes,R,Comedy,6.2,John Turturro,John Turturro,James Gandolfini,0.0,105.0,2006-03-03
The Perfect Man,PG,Comedy,5.5,Mark Rosman,Michael McQuown,Hilary Duff,10000000.0,100.0,2005-06-17
Unleashed,R,Action,7.0,Louis Leterrier,Luc Besson,Jet Li,45000000.0,103.0,2005-05-13
Hostage,R,Action,6.5,Florent-Emilio Siri,Robert Crais,Bruce Willis,52000000.0,113.0,2005-03-11
The Greatest Game Ever Played,PG,Biography,7.4,Bill Paxton,Mark Frost,Shia LaBeouf,26000000.0,120.0,2005-09-30
Caché (Hidden),R,Drama,7.3,Michael Haneke,Michael Haneke,Daniel Auteuil,0.0,117.0,2006-02-17
Get Rich or Die Tryin',R,Biography,5.4,Jim Sheridan,Terence Winter,50 Cent,40000000.0,117.0,2005-11-09
Bewitched,PG-13,Comedy,4.8,Nora Ephron,Nora Ephron,Nicole Kidman,85000000.0,102.0,2005-06-24
Hoodwinked,PG,Animation,6.4,Cory Edwards,Todd Edwards,Anne Hathaway,30000000.0,80.0,2006-01-13
Adam's Apples,R,Comedy,7.8,Anders Thomas Jensen,Anders Thomas Jensen,Ulrich Thomsen,0.0,94.0,2005-04-15
BloodRayne,R,Action,2.9,Uwe Boll,Guinevere Turner,Kristanna Loken,25000000.0,95.0,2006-01-06
The Three Burials of Melquiades Estrada,R,Adventure,7.4,Tommy Lee Jones,Guillermo Arriaga,Tommy Lee Jones,15000000.0,121.0,2006-02-24
Feast,R,Action,6.3,John Gulager,Patrick Melton,Navi Rawat,3200000.0,95.0,2007-01-18
Goal! The Dream Begins,PG,Adventure,6.7,Danny Cannon,Mike Jefferies,Kuno Becker,10000000.0,118.0,2006-05-12
The Notorious Bettie Page,R,Biography,6.5,Mary Harron,Mary Harron,Gretchen Mol,0.0,91.0,2006-05-05
Man-Thing,R,Action,4.0,Brett Leonard,Steve Gerber,Jack Thompson,30000000.0,97.0,2005-04-21
"Good Night, and Good Luck.",PG,Biography,7.4,George Clooney,George Clooney,David Strathairn,7000000.0,93.0,2005-11-04
Ice Princess,G,Comedy,6.0,Tim Fywell,Meg Cabot,Michelle Trachtenberg,0.0,98.0,2005-03-18
A Lot Like Love,PG-13,Comedy,6.6,Nigel Cole,Colin Patrick Lynch,Ashton Kutcher,30000000.0,107.0,2005-04-22
Cry Wolf,PG-13,Drama,5.8,Jeff Wadlow,Jeff Wadlow,Julian Morris,1000000.0,90.0,2005-09-16
The Proposition,R,Crime,7.3,John Hillcoat,Nick Cave,Ray Winstone,20000000.0,104.0,2006-06-09
The World's Fastest Indian,PG-13,Biography,7.8,Roger Donaldson,Roger Donaldson,Anthony Hopkins,25000000.0,127.0,2006-03-24
Stealth,PG-13,Action,5.1,Rob Cohen,W.D. Richter,Josh Lucas,135000000.0,121.0,2005-07-29
Hustle & Flow,R,Crime,7.3,Craig Brewer,Craig Brewer,Terrence Howard,2800000.0,116.0,2005-07-22
The Matador,R,Comedy,6.7,Richard Shepard,Richard Shepard,Pierce Brosnan,12500000.0,96.0,2006-01-27
In Her Shoes,PG-13,Comedy,6.4,Curtis Hanson,Jennifer Weiner,Toni Collette,0.0,130.0,2005-10-07
The Fog,PG-13,Horror,3.7,Rupert Wainwright,Cooper Layne,Tom Welling,18000000.0,100.0,2005-10-14
Because of Winn-Dixie,PG,Comedy,6.3,Wayne Wang,Kate DiCamillo,AnnaSophia Robb,14000000.0,106.0,2005-02-18
Where the Truth Lies,Unrated,Crime,6.5,Atom Egoyan,Atom Egoyan,Kevin Bacon,25000000.0,107.0,2005-10-07
Must Love Dogs,PG-13,Comedy,5.9,Gary David Goldberg,Claire Cook,Diane Lane,30000000.0,98.0,2005-07-29
Guess Who,PG-13,Comedy,5.9,Kevin Rodney Sullivan,William Rose,Ashton Kutcher,35000000.0,105.0,2005-03-25
The Ballad of Jack and Rose,R,Drama,6.6,Rebecca Miller,Rebecca Miller,Daniel Day-Lewis,1500000.0,112.0,2005-04-08
Stay,R,Drama,6.8,Marc Forster,David Benioff,Ewan McGregor,50000000.0,99.0,2005-10-21
The Great Raid,R,Action,6.7,John Dahl,William B. Breuer,Benjamin Bratt,80000000.0,132.0,2005-08-12
Venom,R,Horror,4.6,Jim Gillespie,Flint Dille,Agnes Bruckner,0.0,87.0,2005-09-16
Tideland,R,Drama,6.5,Terry Gilliam,Tony Grisoni,Jeff Bridges,19300000.0,120.0,2006-08-11
Roll Bounce,PG-13,Comedy,6.2,Malcolm D. Lee,Norman Vance Jr.,Shad Moss,0.0,112.0,2005-09-23
Alone in the Dark,R,Action,2.4,Uwe Boll,Elan Mastai,Christian Slater,20000000.0,96.0,2005-01-28
An American Haunting,PG-13,Drama,5.1,Courtney Solomon,Brent Monahan,Donald Sutherland,14000000.0,83.0,2006-05-05
Supercross,PG-13,Action,4.3,Steve Boyum,Ken Solarz,Steve Howey,16000000.0,80.0,2005-08-17
Oliver Twist,PG-13,Crime,6.8,Roman Polanski,Charles Dickens,Barney Clark,60000000.0,130.0,2005-09-30
White Noise,PG-13,Drama,5.5,Geoffrey Sax,Niall Johnson,Michael Keaton,10000000.0,101.0,2005-01-07
Are We There Yet?,PG,Adventure,4.7,Brian Levant,Steven Gary Banks,Ice Cube,32000000.0,95.0,2005-01-21
The Protector,R,Action,7.1,Prachya Pinkaew,Napalee,Tony Jaa,0.0,111.0,2006-09-08
Proof,PG-13,Drama,6.7,John Madden,David Auburn,Gwyneth Paltrow,20000000.0,100.0,2005-10-07
Last Days,R,Drama,5.8,Gus Van Sant,Gus Van Sant,Michael Pitt,0.0,97.0,2005-05-13
Racing Stripes,PG,Adventure,5.2,Frederik Du Chau,David Schmidt,Frankie Muniz,30000000.0,102.0,2005-01-14
A Sound of Thunder,PG-13,Action,4.2,Peter Hyams,Ray Bradbury,Edward Burns,80000000.0,110.0,2005-09-02
The Weather Man,R,Comedy,6.5,Gore Verbinski,Steve Conrad,Nicolas Cage,22000000.0,102.0,2005-10-28
Keeping Mum,R,Comedy,6.8,Niall Johnson,Richard Russo,Rowan Atkinson,169000.0,99.0,2006-10-06
Angel-A,R,Comedy,7.1,Luc Besson,Luc Besson,Rie Rasmussen,0.0,91.0,2005-12-21
An Unfinished Life,PG-13,Drama,7.0,Lasse Hallström,Mark Spragg,Jennifer Lopez,30000000.0,108.0,2005-09-16
Boogeyman,PG-13,Drama,4.2,Stephen Kay,Eric Kripke,Barry Watson,20000000.0,89.0,2005-02-04
Fierce People,R,Drama,6.5,Griffin Dunne,Dirk Wittenborn,Diane Lane,0.0,107.0,2007-11-30
Asylum,R,Drama,6.1,David Mackenzie,Patrick McGrath,Natasha Richardson,0.0,99.0,2005-09-09
Me and You and Everyone We Know,R,Comedy,7.3,Miranda July,Miranda July,John Hawkes,800000.0,91.0,2005-08-05
Transamerica,R,Adventure,7.4,Duncan Tucker,Duncan Tucker,Felicity Huffman,1000000.0,103.0,2006-03-03
The Lost City,R,Drama,6.6,Andy Garcia,Guillermo Cabrera Infante,Andy Garcia,9600000.0,144.0,2006-05-26
Beauty Shop,PG-13,Comedy,5.6,Bille Woodruff,Elizabeth Hunter,Queen Latifah,0.0,105.0,2005-03-30
The Upside of Anger,R,Comedy,6.8,Mike Binder,Mike Binder,Joan Allen,12000000.0,118.0,2005-04-01
The Chumscrubber,R,Comedy,6.9,Arie Posin,Arie Posin,Jamie Bell,6800000.0,108.0,2006-10-05
The Man,PG-13,Action,5.6,Les Mayfield,Jim Piddock,Samuel L. Jackson,33000000.0,83.0,2005-09-09
Valiant,G,Animation,5.5,Gary Chapman,George Webster,Ewan McGregor,35000000.0,76.0,2005-08-19
Prime,PG-13,Comedy,6.2,Ben Younger,Ben Younger,Uma Thurman,22000000.0,105.0,2005-10-28
Manderlay,Not Rated,Drama,7.3,Lars von Trier,Lars von Trier,Bryce Dallas Howard,14200000.0,139.0,2005-06-03
Junebug,R,Comedy,6.9,Phil Morrison,Angus MacLachlan,Embeth Davidtz,1000000.0,106.0,2005-09-16
Dominion,R,Drama,5.2,Paul Schrader,William Wisher,Stellan Skarsgård,30000000.0,117.0,2005-08-01
Battle in Heaven,Unrated,Crime,5.6,Carlos Reygadas,Carlos Reygadas,Marcos Hernández,0.0,98.0,2005-10-26
Little Manhattan,PG,Comedy,7.5,Mark Levin,Jennifer Flackett,Josh Hutcherson,0.0,90.0,2006-01-05
Dreamer,PG,Drama,6.8,John Gatins,John Gatins,Kurt Russell,32000000.0,106.0,2005-10-21
Black,Not Rated,Drama,8.2,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Amitabh Bachchan,0.0,122.0,2005-02-04
Factotum,R,Comedy,6.6,Bent Hamer,Charles Bukowski,Matt Dillon,1000000.0,94.0,2005-04-29
Beowulf & Grendel,R,Action,5.8,Sturla Gunnarsson,Anonymous,Hringur Ingvarsson,0.0,103.0,2006-03-09
Joyeux Noel,PG-13,Drama,7.7,Christian Carion,Christian Carion,Diane Kruger,0.0,116.0,2005-11-09
Dirty Love,R,Comedy,3.6,John Asher,Jenny McCarthy,Jenny McCarthy,0.0,91.0,2006-05-05
Everything Is Illuminated,PG-13,Comedy,7.4,Liev Schreiber,Jonathan Safran Foer,Elijah Wood,7000000.0,106.0,2005-11-04
Thumbsucker,R,Comedy,6.6,Mike Mills,Walter Kirn,Lou Taylor Pucci,4000000.0,96.0,2005-10-07
Rebound,PG,Comedy,5.2,Steve Carr,Bill Wolff,Martin Lawrence,33100000.0,86.0,2005-07-01
The Departed,R,Crime,8.5,Martin Scorsese,William Monahan,Leonardo DiCaprio,90000000.0,151.0,2006-10-06
The Fast and the Furious: Tokyo Drift,PG-13,Action,6.0,Justin Lin,Chris Morgan,Lucas Black,85000000.0,104.0,2006-06-16
Talladega Nights: the Ballad of Ricky Bobby,PG-13,Comedy,6.6,Adam McKay,Will Ferrell,Will Ferrell,72500000.0,108.0,2006-08-04
The Prestige,PG-13,Drama,8.5,Christopher Nolan,Jonathan Nolan,Christian Bale,40000000.0,130.0,2006-10-20
Cars,G,Animation,7.1,John Lasseter,John Lasseter,Owen Wilson,120000000.0,117.0,2006-06-09
300,R,Action,7.6,Zack Snyder,Zack Snyder,Gerard Butler,65000000.0,117.0,2007-03-09
The Devil Wears Prada,PG-13,Comedy,6.9,David Frankel,Aline Brosh McKenna,Anne Hathaway,35000000.0,109.0,2006-06-30
Casino Royale,PG-13,Action,8.0,Martin Campbell,Neal Purvis,Daniel Craig,150000000.0,144.0,2006-11-17
Pan's Labyrinth,R,Drama,8.2,Guillermo del Toro,Guillermo del Toro,Ivana Baquero,19000000.0,118.0,2007-01-19
Pirates of the Caribbean: Dead Man's Chest,PG-13,Action,7.3,Gore Verbinski,Ted Elliott,Johnny Depp,225000000.0,151.0,2006-07-07
Idiocracy,R,Adventure,6.6,Mike Judge,Mike Judge,Luke Wilson,0.0,84.0,2007-01-25
Apocalypto,R,Action,7.8,Mel Gibson,Mel Gibson,Gerardo Taracena,40000000.0,139.0,2006-12-08
She's the Man,PG-13,Comedy,6.3,Andy Fickman,Ewan Leslie,Amanda Bynes,20000000.0,105.0,2006-03-17
Little Children,R,Drama,7.5,Todd Field,Todd Field,Kate Winslet,26000000.0,137.0,2007-02-09
Children of Men,R,Adventure,7.9,Alfonso Cuarón,Alfonso Cuarón,Julianne Moore,76000000.0,109.0,2007-01-05
