name,rating,genre,score,director,writer,star,budget,Run,released
Pale Rider,R,Drama,7.3,Clint Eastwood,Michael Butler,Clint Eastwood,6900000.0,115.0,1985-06-28
Teen Wolf,PG,Comedy,6.1,Rod Daniel,Jeph Loeb,Michael J. Fox,0.0,91.0,1985-08-23
Real Genius,PG,Comedy,7.0,Martha Coolidge,Neal Israel,Val Kilmer,8000000.0,108.0,1985-08-07
Commando,R,Action,6.7,Mark L. Lester,Jeph Loeb,Arnold Schwarzenegger,10000000.0,90.0,1985-10-04
Witness,R,Crime,7.4,Peter Weir,William Kelley,Harrison Ford,12000000.0,112.0,1985-02-08
The Color Purple,PG-13,Drama,7.8,Steven Spielberg,Menno Meyjes,Danny Glover,15000000.0,154.0,1986-02-07
Silverado,PG-13,Action,7.2,Lawrence Kasdan,Lawrence Kasdan,Kevin Kline,26000000.0,133.0,1985-07-10
Rocky IV,PG,Drama,6.9,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,30000000.0,91.0,1985-11-27
Better Off Dead...,PG,Comedy,7.1,Savage Steve Holland,Savage Steve Holland,John Cusack,0.0,97.0,1985-10-11
Ran,R,Action,8.2,Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai,11500000.0,162.0,1985-06-01
Ladyhawke,PG-13,Adventure,7.0,Richard Donner,Edward Khmara,Matthew Broderick,20000000.0,121.0,1985-04-12
A Room with a View,Not Rated,Drama,7.3,James Ivory,E.M. Forster,Maggie Smith,3000000.0,117.0,1986-04-11
Red Sonja,PG-13,Action,5.1,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,17900000.0,89.0,1985-07-03
Fright Night,R,Fantasy,7.1,Tom Holland,Tom Holland,Chris Sarandon,9000000.0,106.0,1985-08-02
Explorers,PG,Adventure,6.5,Joe Dante,Eric Luke,Ethan Hawke,25000000.0,109.0,1985-07-12
Flesh+Blood,R,Adventure,6.7,Paul Verhoeven,Gerard Soeteman,Rutger Hauer,6500000.0,126.0,1985-08-30
Mad Max Beyond Thunderdome,PG-13,Action,6.3,George Miller,Terry Hayes,Mel Gibson,10000000.0,107.0,1985-07-10
After Hours,R,Comedy,7.7,Martin Scorsese,Joseph Minion,Griffin Dunne,4500000.0,97.0,1985-10-11
A View to a Kill,PG,Action,6.3,John Glen,Richard Maibaum,Roger Moore,30000000.0,131.0,1985-05-24
Fletch,PG,Comedy,6.9,Michael Ritchie,Gregory McDonald,Chevy Chase,8000000.0,98.0,1985-05-31
Perfect,R,Drama,4.5,James Bridges,Aaron Latham,John Travolta,19000000.0,115.0,1985-06-07
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,5.5,Jack Sholder,David Chaskin,Robert Englund,3000000.0,87.0,1985-11-01
Summer Rental,PG,Comedy,6.3,Carl Reiner,Jeremy Stevens,John Candy,0.0,87.0,1985-08-09
Lifeforce,R,Action,6.2,Tobe Hooper,Colin Wilson,Steve Railsback,25000000.0,101.0,1985-06-21
Pee-wee's Big Adventure,PG,Adventure,7.0,Tim Burton,Phil Hartman,Paul Reubens,6000000.0,91.0,1985-08-09
Out of Africa,PG,Biography,7.2,Sydney Pollack,Karen Blixen,Meryl Streep,31000000.0,161.0,1985-12-20
