movie_id,title,movie_rating,release_date,genre_name,Director,Writer,Actors,Language,metascore,imdb_rating,BoxOffice,runtime
30,PAW Patrol: The Movie,G,2021-08-20,"Animation, Action, Adventure",Cal Brunker,"Billy Frolick, Cal Brunker, Bob Barlen","Tyler Perry, Ron Pardo, Will Brisbin",English,50.0,6.2,40127371,86
31,West Side Story,PG-13,2021-12-10,"Crime, Drama, Musical",Steven Spielberg,"Tony Kushner, Arthur Laurents","Ansel Elgort, Rachel Zegler, Ariana DeBose","English, Spanish",85.0,7.8,37200196,156
32,The Matrix Resurrections,R,2021-12-22,"Action, Sci-Fi",Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksandar Hemon","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II","English, French, Spanish, Japanese",63.0,5.7,36645917,148
33,The King's Man,R,2021-12-22,"Action, Adventure, Thriller",Matthew Vaughn,"Matthew Vaughn, Karl Gajdusek, Mark Millar","Ralph Fiennes, Gemma Arterton, Rhys Ifans","English, Latin, German, French, Russian",44.0,6.4,37087956,131
34,In the Heights,PG-13,2021-06-11,"Drama, Musical, Romance",Jon M. Chu,"Quiara Alegría Hudes, Lin-Manuel Miranda","Anthony Ramos, Corey Hawkins, Leslie Grace","English, Spanish",84.0,7.3,29975167,143
35,Nobody,R,2021-03-26,"Action, Crime, Drama",Ilya Naishuller,Derek Kolstad,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen","English, Russian, Spanish",64.0,7.4,27268035,92
36,Wrath of Man,R,2021-05-07,"Action, Crime, Thriller",Guy Ritchie,"Nicolas Boukhrief, Éric Besnard, Guy Ritchie","Jason Statham, Holt McCallany, Josh Hartnett",English,57.0,7.1,27466489,119
37,Escape Room: Tournament of Champions,PG-13,2021-07-16,"Action, Adventure, Horror",Adam Robitel,"Will Honley, Maria Melnik, Daniel Tuch","Taylor Russell, Logan Miller, Deborah Ann Woll",English,48.0,5.8,25314753,88
38,Respect,PG-13,2021-08-13,"Biography, Drama, Music",Liesl Tommy,"Tracey Scott Wilson, Callie Khouri","Jennifer Hudson, Forest Whitaker, Marlon Wayans",English,61.0,6.6,24278399,145
39,Spiral,R,2021-05-14,"Crime, Drama, Horror",Darren Lynn Bousman,"Josh Stolberg, Pete Goldfinger","Chris Rock, Samuel L. Jackson, Max Minghella",English,40.0,5.3,23216862,93
40,Ron's Gone Wrong,PG,2021-10-22,"Animation, Adventure, Comedy","Sarah Smith, Jean-Philippe Vine, Octavio E. Rodriguez","Peter Baynham, Sarah Smith","Jack Dylan Grazer, Zach Galifianakis, Ed Helms",English,65.0,7.1,23009270,107
41,Spirit Untamed,PG,2021-06-04,"Animation, Adventure, Comedy","Elaine Bogan, Ennio Torresan","Aury Wallington, Kristin Hahn, Katherine Nolfi","Isabela Merced, Marsai Martin, Mckenna Grace",English,49.0,5.5,17635215,88
42,The Green Knight,R,2021-07-30,"Adventure, Drama, Fantasy",David Lowery,David Lowery,"Dev Patel, Alicia Vikander, Joel Edgerton",English,85.0,6.6,17173321,130
43,Resident Evil: Welcome to Raccoon City,R,2021-11-24,"Action, Horror, Sci-Fi",Johannes Roberts,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen",English,44.0,5.2,16962542,107
44,The French Dispatch,R,2021-10-22,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Roman Coppola, Hugo Guinness","Benicio Del Toro, Adrien Brody, Tilda Swinton","English, French",74.0,7.3,16124375,107
45,Licorice Pizza,R,2021-12-25,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn","English, Japanese, Spanish",90.0,7.8,14592081,133
46,The Marksman,PG-13,2021-01-15,"Action, Adventure, Thriller",Robert Lorenz,"Chris Charles, Danny Kravitz, Robert Lorenz","Katheryn Winnick, Liam Neeson, Teresa Ruiz","English, Spanish",44.0,5.6,15566093,108
47,The Unholy,PG-13,2021-04-02,"Drama, Horror, Mystery",Evan Spiliotopoulos,"Evan Spiliotopoulos, James Herbert","Jeffrey Dean Morgan, Cricket Brown, William Sadler","English, American Sign , Latin",36.0,5.1,15532137,99
48,The Little Things,R,2021-01-29,"Crime, Drama, Mystery",John Lee Hancock,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto","English, Spanish, Arabic",54.0,6.3,15342746,128
49,Dear Evan Hansen,PG-13,2021-09-24,"Drama, Musical",Stephen Chbosky,"Steven Levenson, Benj Pasek, Justin Paul","Ben Platt, Julianne Moore, Kaitlyn Dever",English,39.0,6.1,15002646,137
50,King Richard,PG-13,2021-11-19,"Biography, Drama, Sport",Reinaldo Marcus Green,Zach Baylin,"Will Smith, Aunjanue Ellis, Jon Bernthal",English,76.0,7.6,14849075,144
51,Stillwater,R,2021-07-30,"Crime, Drama, Thriller",Tom McCarthy,"Tom McCarthy, Marcus Hinchey, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin","English, French",60.0,6.6,14465535,139
52,Malignant,R,2021-09-10,"Crime, Horror, Mystery",James Wan,"James Wan, Ingrid Bisu, Akela Cooper","Annabelle Wallis, Maddie Hasson, George Young",English,51.0,6.3,13391791,111
53,Christmas with the Chosen: The Messengers,Not Rated,2021-12-01,Music,"Dallas Jenkins, Jacob Schwarz, Aaron Edson",0,"Austin Reed Alleman, Sara Anne, Alican Barlas",0,0.0,7.7,13728000,123
54,Chaos Walking,PG-13,2021-03-05,"Action, Adventure, Fantasy",Doug Liman,"Patrick Ness, Christopher Ford","Tom Holland, Daisy Ridley, Demián Bichir",English,38.0,5.8,13287908,109
55,Nightmare Alley,R,2021-12-17,"Crime, Drama, Thriller",Guillermo del Toro,"Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette",English,70.0,7.4,11031950,150
56,The Last Duel,R,2021-10-15,"Action, Drama, History",Ridley Scott,"Nicole Holofcener, Ben Affleck, Matt Damon","Matt Damon, Adam Driver, Jodie Comer","English, German, French, Latin",67.0,7.4,10853945,152
57,Antlers,R,2021-10-29,"Drama, Horror, Mystery",Scott Cooper,"Henry Chaisson, Nick Antosca, Scott Cooper","Keri Russell, Jesse Plemons, Jeremy T. Thomas","English, Ojibwa",57.0,5.9,10619670,99
58,Cry Macho,PG-13,2021-09-17,"Drama, Thriller",Clint Eastwood,"Nick Schenk, N. Richard Nash","Clint Eastwood, Dwight Yoakam, Daniel V. Graulau","English, Spanish, American Sign ",58.0,5.7,10310734,104
59,Last Night in Soho,R,2021-10-29,"Drama, Horror, Mystery",Edgar Wright,"Edgar Wright, Krysty Wilson-Cairns","Thomasin McKenzie, Anya Taylor-Joy, Matt Smith",English,65.0,7.2,10127625,116
60,Belfast,PG-13,2021-11-12,"Biography, Drama, History",Kenneth Branagh,Kenneth Branagh,"Jude Hill, Lewis McAskie, Caitriona Balfe",English,75.0,7.4,7197965,98
61,The Many Saints of Newark,R,2021-10-01,"Crime, Drama",Alan Taylor,"David Chase, Lawrence Konner","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal","English, Italian, Latin",60.0,6.3,8237403,120
62,The Protégé,R,2021-08-20,"Action, Thriller",Martin Campbell,Richard Wenk,"Michael Keaton, Maggie Q, Samuel L. Jackson",English,48.0,6.1,7446823,109
63,Those Who Wish Me Dead,R,2021-05-14,"Action, Crime, Drama",Taylor Sheridan,"Michael Koryta, Charles Leavitt, Taylor Sheridan","Angelina Jolie, Nicholas Hoult, Finn Little",English,59.0,6.0,7407200,100
64,Spencer,R,2021-11-05,"Biography, Drama",Pablo Larraín,Steven Knight,"Kristen Stewart, Timothy Spall, Jack Nielen",English,76.0,6.8,7086632,117
65,A Journal for Jordan,PG-13,2021-12-25,Drama,Denzel Washington,"Virgil Williams, Charles Monroe King, Dana Canedy","Michael B. Jordan, Chanté Adams, Jalon Christian",English,42.0,5.7,6312915,131
66,Judas and the Black Messiah,R,2021-02-12,"Biography, Drama, History",Shaka King,"Will Berson, Shaka King, Kenneth Lucas","Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons",English,85.0,7.5,5478009,126
67,Roadrunner: A Film About Anthony Bourdain,R,2021-07-16,Documentary,Morgan Neville,0,"Anthony Bourdain, Ottavia Bourdain, David Chang",English,0.0,7.8,5249970,119
68,Copshop,R,2021-09-17,"Action, Crime, Thriller",Joe Carnahan,"Kurt McLeod, Joe Carnahan, Mark Williams","Gerard Butler, Frank Grillo, Alexis Louder",English,61.0,6.2,5213243,107
69,Separation,R,2021-04-30,Horror,William Brent Bell,"Nick Amadeus, Josh Braun","Rupert Friend, Violet McGraw, Madeline Brewer",English,0.0,4.7,4509143,107
70,Boogie,R,2021-03-05,"Drama, Sport",Eddie Huang,Eddie Huang,"Taylor Takahashi, Pamelyn Chee, Jorge Lendeborg Jr.",English,54.0,5.2,4178620,90
