title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,Predictions_Upcoming,label_boxoffice,box_office,Predictions_imbdRating,Predictions_imbd_Upcoming,label_imbd_score
Twin Dragons,PG-13,104.0,0.0,6.5,Ringo Lam,Barry Wong,Jackie Chan,Action,1999,1.0,0.0,0.0,8359717.0,1.0,0.0,0.0
Folks!,PG-13,107.0,0.0,5.7,Ted Kotcheff,Robert Klane,Tom Selleck,Comedy,1992,1.0,0.0,0.0,6132924.0,1.0,0.0,0.0
Night and the City,R,105.0,0.0,5.8,Irwin Winkler,Gerald Kersh,Robert De Niro,Comedy,1992,1.0,0.0,0.0,6202756.0,1.0,0.0,0.0
Out on a Limb,PG,93.0,0.0,5.3,Francis Veber,Daniel Goldin,Matthew Broderick,Comedy,1992,1.0,0.0,0.0,1659542.0,1.0,0.0,0.0
The Waterdance,R,106.0,0.0,6.8,Neal Jimenez,Neal Jimenez,Eric Stoltz,Drama,1992,1.0,0.0,0.0,1723319.0,1.0,0.0,0.0
This Is My Life,PG-13,105.0,0.0,6.1,Nora Ephron,Meg Wolitzer,Julie Kavner,Drama,1992,1.0,0.0,0.0,2922094.0,1.0,0.0,0.0
Once Upon a Time in China III,R,109.0,0.0,6.8,Hark Tsui,Tin-suen Chan,Jet Li,Action,1993,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Dazed and Confused,R,102.0,0.0,7.6,Richard Linklater,Richard Linklater,Jason London,Comedy,1993,1.0,0.0,0.0,7993039.0,1.0,0.0,0.0
Robin Hood: Men in Tights,PG-13,104.0,0.0,6.7,Mel Brooks,J.D. Shapiro,Cary Elwes,Adventure,1993,1.0,0.0,0.0,35739755.0,1.0,0.0,0.0
A Bronx Tale,R,121.0,0.0,7.8,Robert De Niro,Chazz Palminteri,Robert De Niro,Crime,1993,1.0,0.0,0.0,17287898.0,1.0,0.0,0.0
What's Eating Gilbert Grape,PG-13,118.0,0.0,7.7,Lasse Hallström,Peter Hedges,Johnny Depp,Drama,1994,1.0,0.0,0.0,10032765.0,1.0,0.0,0.0
Carlito's Way,R,144.0,0.0,7.9,Brian De Palma,Edwin Torres,Al Pacino,Crime,1993,1.0,0.0,0.0,63848322.0,1.0,0.0,0.0
Dennis the Menace,PG,94.0,0.0,5.6,Nick Castle,Hank Ketcham,Walter Matthau,Comedy,1993,1.0,0.0,0.0,117270765.0,1.0,0.0,0.0
The Nightmare Before Christmas,PG,76.0,0.0,8.0,Henry Selick,Tim Burton,Danny Elfman,Animation,1993,1.0,0.0,0.0,91491247.0,1.0,0.0,0.0
Alive,R,120.0,0.0,7.1,Frank Marshall,Piers Paul Read,Ethan Hawke,Biography,1993,1.0,0.0,0.0,36733909.0,1.0,0.0,0.0
In the Line of Fire,R,128.0,0.0,7.2,Wolfgang Petersen,Jeff Maguire,Clint Eastwood,Action,1993,1.0,0.0,0.0,176997168.0,1.0,0.0,0.0
RoboCop 3,PG-13,104.0,0.0,4.1,Fred Dekker,Edward Neumeier,Robert John Burke,Action,1993,1.0,0.0,0.0,10696210.0,1.0,0.0,0.0
Fire in the Sky,PG-13,109.0,0.0,6.5,Robert Lieberman,Travis Walton,D.B. Sweeney,Biography,1993,1.0,0.0,0.0,19885552.0,1.0,0.0,0.0
Cool Runnings,PG,98.0,0.0,7.0,Jon Turteltaub,Lynn Siefert,John Candy,Adventure,1993,1.0,0.0,0.0,154856263.0,1.0,0.0,0.0
Kalifornia,R,117.0,0.0,6.7,Dominic Sena,Stephen Levy,Brad Pitt,Crime,1993,1.0,0.0,0.0,2395231.0,1.0,0.0,0.0
Sliver,R,107.0,0.0,5.0,Phillip Noyce,Ira Levin,Sharon Stone,Drama,1993,1.0,0.0,0.0,116300000.0,1.0,0.0,0.0
Hot Shots! Part Deux,PG-13,86.0,0.0,6.6,Jim Abrahams,Jim Abrahams,Charlie Sheen,Action,1993,1.0,0.0,0.0,133752825.0,1.0,0.0,0.0
Much Ado About Nothing,PG-13,111.0,0.0,7.3,Kenneth Branagh,William Shakespeare,Kenneth Branagh,Comedy,1993,1.0,0.0,0.0,22549338.0,1.0,0.0,0.0
Loaded Weapon 1,PG-13,84.0,0.0,6.2,Gene Quintano,Don Holley,Emilio Estevez,Action,1993,1.0,0.0,0.0,27979399.0,1.0,0.0,0.0
This Boy's Life,R,115.0,0.0,7.3,Michael Caton-Jones,Tobias Wolff,Robert De Niro,Biography,1993,1.0,0.0,0.0,4104962.0,1.0,0.0,0.0
Short Cuts,R,188.0,0.0,7.7,Robert Altman,Raymond Carver,Andie MacDowell,Comedy,1993,1.0,0.0,0.0,6110979.0,1.0,0.0,0.0
Son in Law,PG-13,95.0,0.0,5.8,Steve Rash,Patrick J. Clifton,Pauly Shore,Comedy,1993,1.0,0.0,0.0,36448400.0,1.0,0.0,0.0
Matinee,PG,99.0,0.0,6.9,Joe Dante,Jerico Stone,John Goodman,Comedy,1993,1.0,0.0,0.0,9532895.0,1.0,0.0,0.0
The Good Son,R,87.0,0.0,6.4,Joseph Ruben,Ian McEwan,Macaulay Culkin,Drama,1993,1.0,0.0,0.0,60613008.0,1.0,0.0,0.0
Killing Zoe,R,96.0,0.0,6.5,Roger Avary,Roger Avary,Eric Stoltz,Crime,1994,1.0,0.0,0.0,418961.0,1.0,0.0,0.0
Rising Sun,R,129.0,0.0,6.3,Philip Kaufman,Michael Crichton,Sean Connery,Action,1993,1.0,0.0,0.0,107198790.0,1.0,0.0,0.0
Body Snatchers,R,87.0,0.0,6.0,Abel Ferrara,Jack Finney,Gabrielle Anwar,Horror,1994,1.0,0.0,0.0,428868.0,1.0,0.0,0.0
Stalingrad,Not Rated,134.0,0.0,7.5,Joseph Vilsmaier,Jürgen Büscher,Dominique Horwitz,Drama,1993,1.0,0.0,0.0,152972.0,1.0,0.0,0.0
Airborne,PG,91.0,0.0,6.3,Rob Bowman,Bill Apablasa,Shane McDermott,Adventure,1993,1.0,0.0,0.0,2850263.0,1.0,0.0,0.0
The Thing Called Love,PG-13,116.0,0.0,6.4,Peter Bogdanovich,Carol Heikkinen,River Phoenix,Comedy,1993,1.0,0.0,0.0,1029721.0,1.0,0.0,0.0
Poetic Justice,R,109.0,0.0,6.1,John Singleton,John Singleton,Janet Jackson,Drama,1993,1.0,0.0,0.0,27515786.0,1.0,0.0,0.0
The Cement Garden,Not Rated,101.0,0.0,7.1,Andrew Birkin,Andrew Birkin,Charlotte Gainsbourg,Drama,1994,1.0,0.0,0.0,322975.0,1.0,0.0,0.0
Swing Kids,PG-13,112.0,0.0,6.8,Thomas Carter,Jonathan Marc Feldman,Robert Sean Leonard,Drama,1993,1.0,0.0,0.0,5632086.0,1.0,0.0,0.0
Heart and Souls,PG-13,104.0,0.0,7.0,Ron Underwood,Gregory Hansen,Robert Downey Jr.,Comedy,1993,1.0,0.0,0.0,16589540.0,1.0,0.0,0.0
Needful Things,R,120.0,0.0,6.3,Fraser C. Heston,Stephen King,Max von Sydow,Crime,1993,1.0,0.0,0.0,15185672.0,1.0,0.0,0.0
Weekend at Bernie's II,PG,97.0,0.0,4.8,Robert Klane,Robert Klane,Andrew McCarthy,Adventure,1993,1.0,0.0,0.0,12741891.0,1.0,0.0,0.0
Les visiteurs,R,107.0,0.0,7.1,Jean-Marie Poiré,Christian Clavier,Christian Clavier,Comedy,1996,1.0,0.0,0.0,659810.0,1.0,0.0,0.0
