movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,genre_name
59,The Octagon,R,1980-08-15,103.0,0.0,5.1,18971000.0,Eric Karson,Leigh Chapman,Chuck Norris,Action
60,Hangar 18,PG,1981-03-13,97.0,0.0,5.3,0.0,James L. Conway,Ken Pettus,Darren McGavin,Sci-Fi
61,Herbie Goes Bananas,G,1980-06-25,100.0,0.0,5.0,18000000.0,Vincent McEveety,Don Tait,Charles Martin Smith,Adventure
62,The Competition,PG,1980-12-03,123.0,0.0,6.7,14287755.0,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Drama
63,It's My Turn,R,1981-02-05,91.0,0.0,5.5,0.0,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,Comedy
64,Honeysuckle Rose,PG,1980-07-18,119.0,0.0,6.3,17815212.0,Jerry Schatzberg,Gösta Stevens,Willie Nelson,Drama
65,Resurrection,PG,1980-09-26,103.0,0.0,7.3,3910019.0,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,Drama
66,Fatso,PG,1980-02-01,93.0,0.0,6.3,7653061.0,Anne Bancroft,Anne Bancroft,Dom DeLuise,Comedy
67,Moscow Does Not Believe in Tears,PG,1980-02-11,150.0,0.0,8.1,0.0,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Comedy
68,The Fiendish Plot of Dr. Fu Manchu,PG,1980-08-08,100.0,0.0,5.1,10697276.0,Piers Haggard,Rudy Dochtermann,Peter Sellers,Comedy
69,Serial,R,1980-03-28,86.0,0.0,6.6,9870727.0,Bill Persky,Cyra McFadden,Martin Mull,Comedy
70,Hero at Large,PG,1980-02-08,98.0,0.0,6.0,15934737.0,Martin Davidson,AJ Carothers,John Ritter,Comedy
71,Wholly Moses!,PG,1980-06-13,103.0,0.0,4.7,14155617.0,Gary Weis,Guy Thomas,Dudley Moore,Comedy
72,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,1980-05-30,75.0,0.0,7.3,2013193.0,Bill Melendez,Charles M. Schulz,Scott Beach,Animation
73,In God We Trust (or Gimme That Prime Time Religion),PG,1980-09-26,97.0,0.0,5.5,5215015.0,Marty Feldman,Marty Feldman,Marty Feldman,Comedy
74,Roadie,PG,1980-06-13,106.0,0.0,5.2,4226370.0,Alan Rudolph,Big Boy Medlin,Meat Loaf,Comedy
75,Just Tell Me What You Want,R,1980-01-18,112.0,0.0,5.5,2086905.0,Sidney Lumet,Jay Presson Allen,Ali MacGraw,Comedy
76,The Last Flight of Noah's Ark,G,1980-06-25,97.0,0.0,5.8,11000000.0,Charles Jarrott,Ernest K. Gann,Elliott Gould,Adventure
77,Little Miss Marker,PG,1980-03-21,103.0,0.0,6.3,6321392.0,Walter Bernstein,Damon Runyon,Walter Matthau,Comedy
78,Willie & Phil,R,1980-08-15,115.0,0.0,5.9,4400000.0,Paul Mazursky,Jean Gruault,Michael Ontkean,Comedy
79,Babylon,,1980-11-01,95.0,0.0,7.4,109749.0,Franco Rosso,Franco Rosso,David N. Haynes,Drama
80,Windwalker,PG,1983-11-18,108.0,0.0,6.9,0.0,Kieth Merrill,Ray Goldrup,Trevor Howard,Adventure
81,Phobia,R,1980-09-09,94.0,0.0,4.0,59167.0,John Huston,Gary Sherman,Paul Michael Glaser,Drama
82,Windows,R,1980-01-18,96.0,0.0,4.8,2128395.0,Gordon Willis,Barry Siegel,Talia Shire,Drama
83,Loving Couples,PG,1980-10-24,97.0,0.0,5.2,2806659.0,Jack Smight,Martin Donovan,Shirley MacLaine,Comedy
84,The King and the Mockingbird,Not Rated,1980-03-19,83.0,0.0,7.9,167451.0,Paul Grimault,Hans Christian Andersen,Jean Martin,Animation
85,"Oh, God! Book II",PG,1980-10-03,94.0,0.0,5.2,14504277.0,Gilbert Cates,Josh Greenfeld,George Burns,Comedy
86,"Those Lips, Those Eyes",R,1980-08-15,105.0,0.0,6.5,804713.0,Michael Pressman,David Shaber,Frank Langella,Comedy
87,La Cage aux Folles II,R,1981-02-15,102.0,0.0,5.8,6950125.0,Édouard Molinaro,Jean Poiret,Michel Serrault,Comedy
88,The Gong Show Movie,R,1980-05-23,89.0,0.0,4.3,6621520.0,Chuck Barris,Chuck Barris,Chuck Barris,Comedy
89,Gilda Live,R,1980-03-28,96.0,0.0,6.8,2261507.0,Mike Nichols,Anne Beatts,Gilda Radner,Comedy
90,Why Would I Lie?,PG,1980-08-08,105.0,0.0,6.5,1175855.0,Larry Peerce,Hollis Hodges,Treat Williams,Comedy
91,First Family,R,1980-12-25,97.0,0.0,4.3,15198912.0,Buck Henry,Buck Henry,Bob Newhart,Comedy
92,Mantis Fist Fighter,,1982-07-09,89.0,0.0,6.7,0.0,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,Action
93,Indiana Jones and the Raiders of the Lost Ark,PG,1981-06-12,115.0,0.0,8.4,389925971.0,Steven Spielberg,Lawrence Kasdan,Harrison Ford,Action
94,Body Heat,R,1981-08-28,113.0,0.0,7.4,24058838.0,Lawrence Kasdan,Lawrence Kasdan,William Hurt,Crime
95,An American Werewolf in London,R,1981-08-21,97.0,0.0,7.5,30669378.0,John Landis,John Landis,David Naughton,Comedy
96,Escape from New York,R,1981-07-10,99.0,0.0,7.2,25244626.0,John Carpenter,John Carpenter,Kurt Russell,Action
97,The Evil Dead,NC-17,1983-04-15,85.0,0.0,7.5,2956630.0,Sam Raimi,Sam Raimi,Bruce Campbell,Horror
98,Porky's,R,1982-03-19,94.0,0.0,6.2,111289673.0,Bob Clark,Bob Clark,Dan Monahan,Comedy
99,Blow Out,R,1981-07-24,108.0,0.0,7.4,12000000.0,Brian De Palma,Brian De Palma,John Travolta,Crime
100,Clash of the Titans,PG,1981-06-12,118.0,0.0,6.9,41092328.0,Desmond Davis,Beverley Cross,Laurence Olivier,Action
101,Excalibur,R,1981-04-10,140.0,0.0,7.4,34971136.0,John Boorman,Thomas Malory,Nigel Terry,Adventure
102,Mad Max 2,R,1982-05-21,96.0,0.0,7.6,23668369.0,George Miller,Terry Hayes,Mel Gibson,Action
103,Das Boot,,1982-02-10,149.0,0.0,8.3,11487676.0,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,Adventure
104,Stripes,R,1981-06-26,106.0,0.0,6.9,85297000.0,Ivan Reitman,Len Blum,Bill Murray,Comedy
105,Possession,R,1983-10-28,124.0,0.0,7.4,1113538.0,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,Drama
106,The Cannonball Run,PG,1981-06-19,95.0,0.0,6.2,72179579.0,Hal Needham,Brock Yates,Burt Reynolds,Action
107,Thief,R,1981-03-27,123.0,0.0,7.4,11492915.0,Michael Mann,Frank Hohimer,James Caan,Action
108,Endless Love,R,1981-07-17,116.0,0.0,4.9,32492674.0,Franco Zeffirelli,Scott Spencer,Brooke Shields,Drama
109,Time Bandits,PG,1981-11-06,110.0,0.0,7.0,42368025.0,Terry Gilliam,Michael Palin,Sean Connery,Adventure
110,The Four Seasons,PG,1981-05-22,107.0,0.0,6.8,50427646.0,Alan Alda,Alan Alda,Alan Alda,Comedy
111,Friday the 13th Part 2,R,1981-05-01,87.0,0.0,6.1,21722776.0,Steve Miner,Ron Kurz,Betsy Palmer,Horror
112,Scanners,R,1981-01-14,103.0,0.0,6.8,14225876.0,David Cronenberg,David Cronenberg,Jennifer O'Neill,Horror
113,For Your Eyes Only,PG,1981-06-26,127.0,0.0,6.7,54813222.0,John Glen,Richard Maibaum,Roger Moore,Action
114,Halloween II,R,1981-10-30,92.0,0.0,6.5,25533818.0,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,Horror
115,Taps,PG,1981-12-25,126.0,0.0,6.8,35856053.0,Harold Becker,Darryl Ponicsan,George C. Scott,Drama
116,Reds,PG,1981-12-25,195.0,0.0,7.3,40382659.0,Warren Beatty,Warren Beatty,Warren Beatty,Biography
117,On Golden Pond,PG,1982-02-12,109.0,0.0,7.6,119285432.0,Mark Rydell,Ernest Thompson,Katharine Hepburn,Drama
118,The Fox and the Hound,G,1981-07-10,83.0,0.0,7.3,63456988.0,Directors,Daniel P. Mannix,Mickey Rooney,Animation
119,Chariots of Fire,PG,1982-04-09,125.0,0.0,7.2,59303359.0,Hugh Hudson,Colin Welland,Ben Cross,Biography
120,Absence of Malice,PG,1981-12-18,116.0,0.0,6.9,40716963.0,Sydney Pollack,Kurt Luedtke,Paul Newman,Drama
121,Tarzan the Ape Man,Approved,1981-07-24,115.0,0.0,3.4,36565280.0,John Derek,Tom Rowe,Bo Derek,Adventure
122,Victory,PG,1981-07-31,116.0,0.0,6.7,10853418.0,John Huston,Yabo Yablonsky,Michael Caine,Drama
123,Arthur,PG,1981-07-17,97.0,0.0,6.9,95461682.0,Steve Gordon,Steve Gordon,Dudley Moore,Comedy
124,My Dinner with Andre,PG,1981-10-11,110.0,0.0,7.8,5073.0,Louis Malle,Wallace Shawn,Andre Gregory,Biography
125,Caveman,PG,1981-04-17,91.0,0.0,5.8,15965924.0,Carl Gottlieb,Rudy De Luca,Ringo Starr,Comedy
126,Dead & Buried,R,1981-10-09,94.0,0.0,6.6,0.0,Gary Sherman,Jeff Millar,James Farentino,Horror
127,History of the World: Part I,R,1981-06-12,92.0,0.0,6.9,31672907.0,Mel Brooks,Mel Brooks,Mel Brooks,Comedy
128,The Howling,R,1981-04-10,91.0,0.0,6.6,17985893.0,Joe Dante,Gary Brandner,Dee Wallace,Horror
129,Dragonslayer,PG,1981-06-26,109.0,0.0,6.7,14110013.0,Matthew Robbins,Hal Barwood,Peter MacNicol,Action
130,Cutter's Way,R,1982-02-10,109.0,0.0,6.9,1752634.0,Ivan Passer,Newton Thornburg,Jeff Bridges,Crime
131,Quest for Fire,R,1982-02-12,100.0,0.0,7.3,20962615.0,Jean-Jacques Annaud,Gérard Brach,Everett McGill,Adventure
132,The Final Conflict,R,1981-03-20,108.0,0.0,5.6,20471382.0,Graham Baker,David Seltzer,Sam Neill,Horror
133,Mommie Dearest,R,1981-09-25,129.0,0.0,6.7,19032261.0,Frank Perry,Christina Crawford,Faye Dunaway,Biography
134,Private Lessons,R,1981-06-10,87.0,0.0,5.2,26279000.0,Alan Myerson,Dan Greenburg,Sylvia Kristel,Comedy
135,The Postman Always Rings Twice,R,1981-03-20,122.0,0.0,6.6,12376625.0,Bob Rafelson,David Mamet,Jack Nicholson,Crime
136,Ragtime,PG,1981-12-25,155.0,0.0,7.3,14920781.0,Milos Forman,E.L. Doctorow,James Cagney,Drama
137,Deadly Blessing,R,1981-08-14,100.0,0.0,5.6,8279042.0,Wes Craven,Glenn M. Benest,Maren Jensen,Horror
138,Eyewitness,R,1981-02-13,103.0,0.0,6.0,6400000.0,Peter Yates,Steve Tesich,William Hurt,Crime
139,Gallipoli,PG,1981-08-28,110.0,0.0,7.4,5732587.0,Peter Weir,David Williamson,Mel Gibson,Adventure
140,Outland,R,1981-05-22,109.0,0.0,6.6,17374595.0,Peter Hyams,Peter Hyams,Sean Connery,Action
141,Southern Comfort,R,1981-09-25,106.0,0.0,7.2,0.0,Walter Hill,Michael Kane,Keith Carradine,Action
142,S.O.B.,R,1981-07-01,122.0,0.0,6.4,14867086.0,Blake Edwards,Blake Edwards,Julie Andrews,Comedy
143,The Beyond,R,1983-11-11,87.0,0.0,6.8,123843.0,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,Horror
144,Ghost Story,R,1981-12-18,110.0,0.0,6.3,23371905.0,John Irvin,Peter Straub,Craig Wasson,Drama
145,My Bloody Valentine,R,1981-02-11,90.0,0.0,6.3,5672031.0,George Mihalka,Stephen A. Miller,Paul Kelman,Horror
146,The Funhouse,R,1981-03-13,96.0,0.0,5.9,7886857.0,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,Horror
147,One from the Heart,R,1982-02-11,107.0,0.0,6.5,636796.0,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,Drama
148,The French Lieutenant's Woman,R,1981-10-16,124.0,0.0,7.0,26890068.0,Karel Reisz,John Fowles,Meryl Streep,Drama
149,The Great Muppet Caper,G,1981-06-26,97.0,0.0,7.2,31206251.0,Jim Henson,Tom Patchett,Jim Henson,Adventure
150,True Confessions,R,1981-09-25,108.0,0.0,6.3,12850276.0,Ulu Grosbard,John Gregory Dunne,Robert De Niro,Crime
151,Looker,PG,1981-10-30,93.0,0.0,6.1,0.0,Michael Crichton,Michael Crichton,Albert Finney,Drama
152,Nighthawks,R,1981-04-10,99.0,0.0,6.4,19905359.0,Bruce Malmuth,David Shaber,Sylvester Stallone,Action
153,Nice Dreams,R,1981-06-05,88.0,0.0,6.2,37000000.0,Tommy Chong,Tommy Chong,Cheech Marin,Comedy
154,Sharky's Machine,R,1981-12-18,122.0,0.0,6.3,35610100.0,Burt Reynolds,William Diehl,Burt Reynolds,Action
155,Neighbors,R,1981-12-18,94.0,0.0,5.6,29916207.0,John G. Avildsen,Thomas Berger,John Belushi,Comedy
156,Puberty Blues,R,1981-12-10,87.0,0.0,5.9,237000.0,Bruce Beresford,Margaret Kelly,Nell Schofield,Comedy
157,Eye of the Needle,R,1981-07-24,112.0,0.0,7.1,17583634.0,Richard Marquand,Ken Follett,Donald Sutherland,Romance
158,Wolfen,R,1981-07-24,115.0,0.0,6.3,10626725.0,Michael Wadleigh,Whitley Strieber,Albert Finney,Horror
159,Student Bodies,R,1981-08-07,86.0,0.0,5.5,5165432.0,Mickey Rose,Mickey Rose,Kristen Riter,Comedy
160,Prince of the City,R,1981-08-26,167.0,0.0,7.5,8124257.0,Sidney Lumet,Jay Presson Allen,Treat Williams,Crime
161,The Hand,R,1981-04-24,104.0,0.0,5.5,2447576.0,Oliver Stone,Marc Brandel,Michael Caine,Drama
162,Continental Divide,PG,1981-09-18,103.0,0.0,6.2,15578237.0,Michael Apted,Lawrence Kasdan,John Belushi,Comedy
163,Diva,R,1982-04-23,117.0,0.0,7.2,110014.0,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,Music
164,Venom,R,1982-01-29,92.0,0.0,5.8,5229643.0,Piers Haggard,Alan Scholefield,Klaus Kinski,Horror
165,Fort Apache the Bronx,R,1981-02-06,125.0,0.0,6.7,29200000.0,Daniel Petrie,Heywood Gould,Paul Newman,Crime
166,Eyes of a Stranger,R,1981-03-27,84.0,0.0,6.0,1118634.0,Ken Wiederhorn,Ron Kurz,Lauren Tewes,Horror
167,Zorro: The Gay Blade,PG,1981-07-17,93.0,0.0,6.2,0.0,Peter Medak,Hal Dresner,George Hamilton,Action
168,Under the Rainbow,PG,1981-07-31,98.0,0.0,5.4,18826490.0,Steve Rash,Fred Bauer,Chevy Chase,Comedy
169,Carbon Copy,PG,1981-09-25,92.0,0.0,5.6,9566593.0,Michael Schultz,Stanley Shapiro,George Segal,Comedy
170,The Incredible Shrinking Woman,PG,1981-01-30,88.0,0.0,5.5,20259961.0,Joel Schumacher,Richard Matheson,Lily Tomlin,Comedy
171,The Night the Lights Went Out in Georgia,PG,1981-06-05,112.0,0.0,6.0,14923752.0,Ron Maxwell,Bob Bonney,Kristy McNichol,Drama
172,Quartet,R,1981-10-25,101.0,0.0,6.3,12042.0,James Ivory,Jean Rhys,Isabelle Adjani,Drama
173,Graduation Day,R,1981-05-01,96.0,0.0,4.9,0.0,Herb Freed,Anne Marisse,Christopher George,Horror
174,Modern Problems,PG,1981-12-25,93.0,0.0,5.1,26154211.0,Ken Shapiro,Ken Shapiro,Chevy Chase,Comedy
175,Pennies from Heaven,R,1982-01-01,108.0,0.0,6.5,9171289.0,Herbert Ross,Dennis Potter,Steve Martin,Drama
176,American Pop,R,1981-02-13,96.0,0.0,7.2,0.0,Ralph Bakshi,Ronni Kern,Mews Small,Animation
177,The Legend of the Lone Ranger,PG,1981-05-22,98.0,0.0,5.1,12617845.0,William A. Fraker,Ivan Goff,Klinton Spilsbury,Action
178,Sphinx,PG,1981-02-11,118.0,0.0,5.2,2022771.0,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,Adventure
179,Night School,R,1981-09-11,88.0,0.0,5.6,1169875.0,Ken Hughes,Ruth Avergon,Leonard Mann,Horror
180,An Eye for an Eye,R,1981-08-14,106.0,0.0,5.5,0.0,Steve Carver,James Bruner,Chuck Norris,Action
181,Zoot Suit,R,1982-01-01,103.0,0.0,6.8,3256082.0,Luis Valdez,Luis Valdez,Daniel Valdez,Drama
182,Rich and Famous,R,1981-10-09,117.0,0.0,5.9,14492125.0,George Cukor,Gerald Ayres,Jacqueline Bisset,Drama
