movie_id,title,movie_rating,genre_name,imdb_rating,director,writer,actors,box_office,run_time,release_date,meta_score
47,Mrs Harris Goes to Paris,0,Drama,0.0,Anthony Fabian,"Carroll Cartwright, Anthony Fabian, Paul Gallico","Jason Isaacs, Lucas Bravo, Alba Baptista",0.0,0,2022-05-06,0.0
48,The Wrong Place,0,Thriller,0.0,Mike Burns,Bill Lawrence,"Bruce Willis, Ashley Greene, Michael Sirow",0.0,0,2022-07-15,0.0
49,Nope,0,Horror,0.0,Jordan Peele,Jordan Peele,"Barbie Ferreira, Keke Palmer, Michael Wincott",0.0,0,2022-07-22,0.0
50,Where the Crawdads Sing,0,"Drama, Mystery",0.0,Olivia Newman,"Lucy Alibar, Delia Owens","David Strathairn, Eric Ladin, Harris Dickinson",0.0,0,2022-07-22,0.0
51,Blazing Samurai,0,"Animation, Action, Comedy",0.0,"Mark Koetsier, Rob Minkoff, Chris Bailey","Nate Hopper, Mel Brooks, Andrew Bergman","Ricky Gervais, Samuel L. Jackson, Michelle Yeoh",0.0,0,2022-07-22,0.0
52,Black Adam,0,"Action, Fantasy, Sci-Fi",0.0,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani","Dwayne Johnson, Sarah Shahi, Pierce Brosnan",0.0,0,2022-07-29,0.0
53,Guns 3: Alias Billy the Kid,0,Western,0.0,Emilio Estevez,"Emilio Estevez, John Fusco","Christian Slater, Emilio Estevez, Lou Diamond Phillips",0.0,0,2022-08-03,0.0
54,Secret Headquarters,0,"Action, Adventure, Sci-Fi",0.0,"Henry Joost, Ariel Schulman","Henry Joost, Josh Koenigsberg, Ariel Schulman","Owen Wilson, Michael Peña, Jesse Williams",0.0,0,2022-08-05,0.0
55,The Man from Toronto,PG-13,"Action, Comedy, Thriller",0.0,Patrick Hughes,"Robbie Fox, Chris Bremner, Jason Blumenthal","Kaley Cuoco, Woody Harrelson, Kevin Hart",0.0,0,2022-08-12,0.0
56,Samaritan,PG-13,"Action, Drama, Fantasy",0.0,Julius Avery,Bragi F. Schut,"Javon 'Wanna' Walton, Sylvester Stallone, Martin Starr",0.0,0,2022-08-26,0.0
57,After Ever Happy,0,"Drama, Romance",0.0,Castille Landon,"Sharon Soboil, Anna Todd","Hero Fiennes Tiffin, Josephine Langford, Carter Jenkins",0.0,119,2022-09-07,0.0
58,Salem's Lot,0,Horror,0.0,Gary Dauberman,"Gary Dauberman, Stephen King","Pilou Asbæk, Spencer Treat Clark, Alfre Woodard",0.0,0,2022-09-09,0.0
59,Dark Harvest,0,Horror,0.0,David Slade,"Michael Gilio, Norman Partridge","Jeremy Davies, Elizabeth Reaser, Luke Kirby",0.0,0,2022-09-09,0.0
60,The Woman King,0,"Drama, History",0.0,Gina Prince-Bythewood,"Gina Prince-Bythewood, Dana Stevens","Hero Fiennes Tiffin, Jordan Bolger, Viola Davis",0.0,0,2022-09-16,0.0
61,Don't Worry Darling,R,"Crime, Drama, Horror",0.0,Olivia Wilde,"Katie Silberman, Carey Van Dyke, Shane Van Dyke","Gemma Chan, Florence Pugh, Olivia Wilde",0.0,0,2022-09-23,0.0
62,Puss in Boots: The Last Wish,0,"Animation, Adventure, Comedy",0.0,"Joel Crawford, Januel Mercado","Christopher Meledandri, Chris Miller","Antonio Banderas, Chris Miller, Miguel Gabriel",0.0,0,2022-09-23,0.0
63,Spider-Man: Across the Spider-Verse - Part One,0,"Animation, Action, Adventure",0.0,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Oscar Isaac",0.0,0,2022-10-07,0.0
64,Till,0,Drama,0.0,Chinonye Chukwu,"Keith Beauchamp, Chinonye Chukwu, Michael Reilly","Haley Bennett, Whoopi Goldberg, Danielle Deadwyler",0.0,0,2022-10-07,0.0
65,Halloween Ends,0,"Horror, Thriller",0.0,David Gordon Green,"Chris Bernier, John Carpenter, David Gordon Green","Jamie Lee Curtis, Kyle Richards, Andi Matichak",0.0,0,2022-10-14,0.0
66,Ticket to Paradise,0,"Comedy, Romance",0.0,Ol Parker,"Ol Parker, Daniel Pipski","Kaitlyn Dever, George Clooney, Lucas Bravo",0.0,0,2022-10-21,0.0
67,The Devil's Light,PG-13,"Horror, Thriller",0.0,Daniel Stamm,"Robert Zappia, Todd R. Jones, Earl Richey Jones","Virginia Madsen, Nicholas Ralph, Colin Salmon",0.0,93,2022-10-28,0.0
68,The Monkey King: The Legend Begins,0,Fantasy,5.7,Soi Cheang,Edmond Wong,"Donnie Yen, Chow Yun-Fat, Aaron Kwok",0.0,90,2022-11-02,0.0
69,The Flash,0,"Action, Adventure, Fantasy",0.0,Andy Muschietti,"Christina Hodson, Gardner Fox, Harry Lampert","Temuera Morrison, Ben Affleck, Michael Keaton",0.0,0,2022-11-04,0.0
70,Untitled David O. Russell,0,"Drama, History",0.0,David O. Russell,David O. Russell,"Anya Taylor-Joy, Margot Robbie, Rami Malek",0.0,0,2022-11-04,0.0
71,Black Panther: Wakanda Forever,0,"Action, Adventure, Drama",0.0,Ryan Coogler,"Joe Robert Cole, Ryan Coogler","Letitia Wright, Daniel Kaluuya, Martin Freeman",0.0,0,2022-11-11,0.0
72,Spellbound,0,"Animation, Adventure, Comedy",0.0,Vicky Jenson,"Lauren Hynek, Elizabeth Martin, Linda Woolverton",0,0.0,0,2022-11-11,0.0
73,Thirteen Lives,PG-13,"Biography, Drama, Thriller",0.0,Ron Howard,William Nicholson,"Tom Bateman, Colin Farrell, Viggo Mortensen",0.0,0,2022-11-18,0.0
74,Creed III,0,"Drama, Sport",0.0,Michael B. Jordan,"Zach Baylin, Keenan Coogler","Tessa Thompson, Michael B. Jordan, Jonathan Majors",0.0,0,2022-11-23,0.0
75,The Fabelmans,0,Drama,0.0,Steven Spielberg,"Tony Kushner, Steven Spielberg","Michelle Williams, Seth Rogen, Paul Dano",0.0,0,2022-11-23,0.0
76,Strange World,0,"Animation, Action, Adventure",0.0,Don Hall,Qui Nguyen,Alan Tudyk,0.0,0,2022-11-23,0.0
77,Avatar 2,0,"Action, Adventure, Sci-Fi",0.0,James Cameron,"James Cameron, Josh Friedman","Zoe Saldana, Chloe Coleman, Kate Winslet",0.0,0,2022-12-16,0.0
78,Aquaman and the Lost Kingdom,0,"Action, Adventure, Fantasy",0.0,James Wan,"David Leslie Johnson-McGoldrick, Paul Norris, Mort Weisinger","Temuera Morrison, Nicole Kidman, Jason Momoa",0.0,0,2022-12-16,0.0
79,Untitled Illumination Entertainment Project,0,"Animation, Adventure, Comedy",0.0,"Aaron Horvath, Michael Jelenic","Matthew Fogel, Shigeru Miyamoto","Anya Taylor-Joy, Chris Pratt, Seth Rogen",0.0,0,2022-12-21,0.0
80,I Wanna Dance with Somebody,0,"Biography, Music",0.0,Kasi Lemmons,Anthony McCarten,"Stanley Tucci, Tamara Tunie, Clarke Peters",0.0,0,2022-12-23,0.0
81,A Man Called Otto,0,"Comedy, Drama",0.0,Marc Forster,Fredrik Backman,"Tom Hanks, Rachel Keller, Manuel Garcia-Rulfo",0.0,0,1970-01-01,0.0
82,Babylon,0,Drama,0.0,Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Olivia Wilde",0.0,0,2023-01-06,0.0
