movie_id,title,movie_rating,release_date,run_time,genre_name,director,writer,actors,language,meta_score,imdb_rating,box_office,Trash
53,Guns 3: Alias Billy the Kid,0,2022-08-03,0,Western,Emilio Estevez,"Emilio Estevez, John Fusco","Christian Slater, Emilio Estevez, Lou Diamond Phillips",English,0.0,0.0,0.0,
54,Secret Headquarters,0,2022-08-05,0,"Action, Adventure, Sci-Fi","Henry Joost, Ariel Schulman","Henry Joost, Josh Koenigsberg, Ariel Schulman","Owen Wilson, Michael Peña, Jesse Williams",English,0.0,0.0,0.0,
55,The Man from Toronto,PG-13,2022-08-12,0,"Action, Comedy, Thriller",Patrick Hughes,"Robbie Fox, Chris Bremner, Jason Blumenthal","Kaley Cuoco, Woody Harrelson, Kevin Hart",English,0.0,0.0,0.0,
56,Samaritan,PG-13,2022-08-26,0,"Action, Drama, Fantasy",Julius Avery,Bragi F. Schut,"Javon 'Wanna' Walton, Sylvester Stallone, Martin Starr",English,0.0,0.0,0.0,
57,After Ever Happy,0,2022-09-07,119,"Drama, Romance",Castille Landon,"Sharon Soboil, Anna Todd","Hero Fiennes Tiffin, Josephine Langford, Carter Jenkins",English,0.0,0.0,0.0,min
58,Salem's Lot,0,2022-09-09,0,Horror,Gary Dauberman,"Gary Dauberman, Stephen King","Pilou Asbæk, Spencer Treat Clark, Alfre Woodard",English,0.0,0.0,0.0,
59,Dark Harvest,0,2022-09-09,0,Horror,David Slade,"Michael Gilio, Norman Partridge","Jeremy Davies, Elizabeth Reaser, Luke Kirby",0,0.0,0.0,0.0,
60,The Woman King,0,2022-09-16,0,"Drama, History",Gina Prince-Bythewood,"Gina Prince-Bythewood, Dana Stevens","Hero Fiennes Tiffin, Jordan Bolger, Viola Davis",0,0.0,0.0,0.0,
61,Don't Worry Darling,R,2022-09-23,0,"Crime, Drama, Horror",Olivia Wilde,"Katie Silberman, Carey Van Dyke, Shane Van Dyke","Gemma Chan, Florence Pugh, Olivia Wilde",English,0.0,0.0,0.0,
62,Puss in Boots: The Last Wish,0,2022-09-23,0,"Animation, Adventure, Comedy","Joel Crawford, Januel Mercado","Christopher Meledandri, Chris Miller","Antonio Banderas, Chris Miller, Miguel Gabriel",English,0.0,0.0,0.0,
63,Spider-Man: Across the Spider-Verse - Part One,0,2022-10-07,0,"Animation, Action, Adventure","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Oscar Isaac",English,0.0,0.0,0.0,
64,Till,0,2022-10-07,0,Drama,Chinonye Chukwu,"Keith Beauchamp, Chinonye Chukwu, Michael Reilly","Haley Bennett, Whoopi Goldberg, Danielle Deadwyler",0,0.0,0.0,0.0,
65,Halloween Ends,0,2022-10-14,0,"Horror, Thriller",David Gordon Green,"Chris Bernier, John Carpenter, David Gordon Green","Jamie Lee Curtis, Kyle Richards, Andi Matichak",English,0.0,0.0,0.0,
66,Ticket to Paradise,0,2022-10-21,0,"Comedy, Romance",Ol Parker,"Ol Parker, Daniel Pipski","Kaitlyn Dever, George Clooney, Lucas Bravo",0,0.0,0.0,0.0,
67,The Devil's Light,PG-13,2022-10-28,93,"Horror, Thriller",Daniel Stamm,"Robert Zappia, Todd R. Jones, Earl Richey Jones","Virginia Madsen, Nicholas Ralph, Colin Salmon",English,0.0,0.0,0.0,min
68,The Monkey King: The Legend Begins,0,2022-11-02,90,Fantasy,Soi Cheang,Edmond Wong,"Donnie Yen, Chow Yun-Fat, Aaron Kwok",English,0.0,5.7,0.0,min
69,The Flash,0,2022-11-04,0,"Action, Adventure, Fantasy",Andy Muschietti,"Christina Hodson, Gardner Fox, Harry Lampert","Temuera Morrison, Ben Affleck, Michael Keaton",English,0.0,0.0,0.0,
70,Untitled David O. Russell,0,2022-11-04,0,"Drama, History",David O. Russell,David O. Russell,"Anya Taylor-Joy, Margot Robbie, Rami Malek",English,0.0,0.0,0.0,
71,Black Panther: Wakanda Forever,0,2022-11-11,0,"Action, Adventure, Drama",Ryan Coogler,"Joe Robert Cole, Ryan Coogler","Letitia Wright, Daniel Kaluuya, Martin Freeman",English,0.0,0.0,0.0,
72,Spellbound,0,2022-11-11,0,"Animation, Adventure, Comedy",Vicky Jenson,"Lauren Hynek, Elizabeth Martin, Linda Woolverton",0,English,0.0,0.0,0.0,
73,Thirteen Lives,PG-13,2022-11-18,0,"Biography, Drama, Thriller",Ron Howard,William Nicholson,"Tom Bateman, Colin Farrell, Viggo Mortensen",English,0.0,0.0,0.0,
74,Creed III,0,2022-11-23,0,"Drama, Sport",Michael B. Jordan,"Zach Baylin, Keenan Coogler","Tessa Thompson, Michael B. Jordan, Jonathan Majors",English,0.0,0.0,0.0,
75,The Fabelmans,0,2022-11-23,0,Drama,Steven Spielberg,"Tony Kushner, Steven Spielberg","Michelle Williams, Seth Rogen, Paul Dano",English,0.0,0.0,0.0,
76,Strange World,0,2022-11-23,0,"Animation, Action, Adventure",Don Hall,Qui Nguyen,Alan Tudyk,English,0.0,0.0,0.0,
77,Avatar 2,0,2022-12-16,0,"Action, Adventure, Sci-Fi",James Cameron,"James Cameron, Josh Friedman","Zoe Saldana, Chloe Coleman, Kate Winslet",English,0.0,0.0,0.0,
78,Aquaman and the Lost Kingdom,0,2022-12-16,0,"Action, Adventure, Fantasy",James Wan,"David Leslie Johnson-McGoldrick, Paul Norris, Mort Weisinger","Temuera Morrison, Nicole Kidman, Jason Momoa",English,0.0,0.0,0.0,
79,Untitled Illumination Entertainment Project,0,2022-12-21,0,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic","Matthew Fogel, Shigeru Miyamoto","Anya Taylor-Joy, Chris Pratt, Seth Rogen",English,0.0,0.0,0.0,
80,I Wanna Dance with Somebody,0,2022-12-23,0,"Biography, Music",Kasi Lemmons,Anthony McCarten,"Stanley Tucci, Tamara Tunie, Clarke Peters",0,0.0,0.0,0.0,
81,A Man Called Otto,0,1970-01-01,0,"Comedy, Drama",Marc Forster,Fredrik Backman,"Tom Hanks, Rachel Keller, Manuel Garcia-Rulfo",English,0.0,0.0,0.0,
82,Babylon,0,2023-01-06,0,Drama,Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Olivia Wilde",English,0.0,0.0,0.0,
