movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office
333,The Outsiders,PG,1983-03-25,91.0,0.0,7.1,25697647.0
334,Star Wars: Episode VI - Return of the Jedi,PG,1983-05-25,131.0,0.0,8.3,475106177.0
335,Risky Business,R,1983-08-05,99.0,0.0,6.8,63541777.0
336,National Lampoon's Vacation,R,1983-07-29,98.0,0.0,7.4,61399552.0
337,Trading Places,R,1983-06-08,116.0,0.0,7.5,90404800.0
338,Superman III,PG,1983-06-17,125.0,0.0,5.0,59950623.0
339,The Big Chill,R,1983-09-30,105.0,0.0,7.2,56399659.0
340,Staying Alive,PG,1983-07-15,93.0,0.0,4.7,64892670.0
341,Jaws 3-D,PG,1983-07-22,99.0,0.0,3.7,87987055.0
342,Christine,R,1983-12-09,110.0,0.0,6.7,21017849.0
343,Sleepaway Camp,R,1983-11-18,84.0,0.0,6.3,0.0
344,Flashdance,R,1983-04-15,95.0,0.0,6.2,92921203.0
345,WarGames,PG,1983-06-03,114.0,0.0,7.1,79567667.0
346,The Right Stuff,PG,1984-02-17,193.0,0.0,7.8,21192315.0
347,Krull,PG,1983-07-29,121.0,0.0,6.1,16916617.0
348,Spring Break,R,1983-03-25,102.0,0.0,4.9,24071666.0
349,The Dead Zone,R,1983-10-21,103.0,0.0,7.2,20766616.0
350,Octopussy,PG,1983-06-10,131.0,0.0,6.5,67893619.0
351,Private School,R,1983-07-29,89.0,0.0,5.3,14049540.0
352,Valley Girl,R,1983-04-29,99.0,0.0,6.4,17343596.0
353,Rumble Fish,R,1983-10-21,94.0,0.0,7.2,2494480.0
354,Videodrome,R,1983-02-04,87.0,0.0,7.2,2120439.0
355,Terms of Endearment,PG,1983-12-09,132.0,0.0,7.4,108423749.0
356,Twilight Zone: The Movie,PG,1983-06-24,101.0,0.0,6.5,29450919.0
357,Never Say Never Again,PG,1983-10-07,134.0,0.0,6.2,55432841.0
358,A Christmas Story,PG,1983-11-18,93.0,0.0,7.9,20653717.0
359,Cujo,R,1983-08-12,93.0,0.0,6.1,21156152.0
360,Sudden Impact,R,1983-12-09,117.0,0.0,6.6,67642693.0
361,The Hunger,R,1983-04-29,97.0,0.0,6.7,5988322.0
362,Mr. Mom,PG,1983-08-19,91.0,0.0,6.6,64783827.0
363,Blue Thunder,R,1983-05-13,109.0,0.0,6.4,42313354.0
364,Breathless,R,1983-05-13,100.0,0.0,5.9,19910002.0
365,Psycho II,R,1983-06-03,113.0,0.0,6.5,34725000.0
366,Local Hero,PG,1983-03-17,111.0,0.0,7.4,5899678.0
367,Bad Boys,R,1983-03-25,123.0,0.0,7.2,9190819.0
368,Silkwood,R,1984-01-27,131.0,0.0,7.2,35615609.0
369,All the Right Moves,R,1983-10-21,91.0,0.0,5.9,17233166.0
