genre_id,genre_name
1101,Comedy
1102,Comedy
1103,Comedy
1104,Comedy
1105,Comedy
1106,Comedy
1107,Biography
1108,Fantasy
1109,Comedy
1110,Comedy
1111,Action
1112,Action
1113,Horror
1114,Crime
1115,Comedy
1116,Fantasy
1117,Comedy
1118,Drama
1119,Comedy
1120,Comedy
1121,Crime
1122,Action
1123,Comedy
1124,Action
1125,Drama
1126,Adventure
1127,Comedy
1128,Comedy
1129,Comedy
1130,Comedy
1131,Action
1132,Action
1133,Crime
1134,Comedy
1135,Action
1136,Crime
1137,Biography
1138,Action
1139,Action
1140,Comedy
1141,Comedy
1142,Crime
1143,Comedy
1144,Drama
1145,Comedy
1146,Action
1147,Drama
1148,Drama
1149,Crime
1150,Thriller
1151,Animation
1152,Comedy
1153,Horror
1154,Comedy
1155,Adventure
1156,Comedy
1157,Action
1158,Comedy
1159,Comedy
1160,Action
1161,Comedy
1162,Drama
1163,Comedy
1164,Comedy
1165,Action
1166,Comedy
1167,Drama
1168,Drama
1169,Crime
1170,Comedy
1171,Animation
1172,Crime
1173,Horror
1174,Thriller
1175,Drama
1176,Biography
1177,Action
1178,Action
1179,Comedy
1180,Action
1181,Crime
1182,Drama
1183,Action
1184,Horror
1185,Horror
1186,Horror
1187,Horror
1188,Action
1189,Drama
1190,Action
1191,Comedy
1192,Crime
1193,Horror
1194,Comedy
1195,Comedy
1196,Drama
1197,Drama
1198,Drama
1199,Comedy
1200,Comedy
1201,Comedy
1202,Biography
1203,Action
1204,Comedy
1205,Comedy
1206,Action
1207,Comedy
1208,Drama
1209,Drama
1210,Adventure
1211,Comedy
1212,Crime
1213,Crime
1214,Action
1215,Comedy
1216,Comedy
1217,Action
1218,Drama
1219,Drama
1220,Drama
1221,Drama
1222,Comedy
1223,Comedy
1224,Comedy
1225,Comedy
1226,Drama
1227,Drama
1228,Drama
1229,Comedy
1230,Horror
1231,Drama
1232,Comedy
1233,Comedy
1234,Horror
1235,Drama
1236,Drama
1237,Drama
1238,Comedy
1239,Action
1240,Action
1241,Comedy
1242,Drama
1243,Drama
1244,Action
1245,Action
1246,Comedy
1247,Comedy
1248,Drama
1249,Crime
1250,Action
1251,Action
1252,Action
1253,Comedy
1254,Comedy
1255,Animation
1256,Comedy
1257,Animation
1258,Drama
1259,Crime
1260,Fantasy
1261,Comedy
1262,Comedy
1263,Comedy
1264,Comedy
1265,Animation
1266,Action
1267,Comedy
1268,Comedy
1269,Action
1270,Drama
1271,Comedy
1272,Animation
1273,Action
1274,Crime
1275,Drama
1276,Comedy
1277,Comedy
1278,Drama
1279,Comedy
1280,Adventure
1281,Drama
1282,Horror
1283,Animation
1284,Drama
1285,Comedy
1286,Action
1287,Horror
1288,Drama
1289,Adventure
1290,Comedy
1291,Horror
1292,Comedy
1293,Adventure
1294,Action
1295,Comedy
1296,Action
1297,Action
1298,Fantasy
1299,Comedy
1300,Horror
1301,Comedy
1302,Horror
1303,Crime
1304,Action
1305,Comedy
1306,Biography
1307,Comedy
1308,Comedy
1309,Comedy
1310,Comedy
1311,Adventure
1312,Drama
1313,Biography
1314,Action
1315,Comedy
1316,Comedy
1317,Comedy
1318,Crime
1319,Comedy
1320,Comedy
1321,Comedy
1322,Adventure
1323,Horror
1324,Comedy
1325,Comedy
1326,Crime
1327,Comedy
1328,Comedy
1329,Comedy
1330,Comedy
1331,Action
1332,Comedy
1333,Fantasy
1334,Comedy
1335,Action
1336,Comedy
1337,Drama
1338,Drama
1339,Comedy
1340,Drama
1341,Action
1342,Biography
1343,Action
1344,Drama
1345,Action
1346,Adventure
1347,Fantasy
1348,Biography
1349,Action
1350,Crime
1351,Action
1352,Comedy
1353,Adventure
1354,Comedy
1355,Crime
1356,Comedy
1357,Comedy
1358,Action
1359,Drama
1360,Comedy
1361,Adventure
1362,Comedy
1363,Comedy
1364,Comedy
1365,Drama
1366,Drama
1367,Comedy
1368,Crime
1369,Biography
1370,Drama
1371,Crime
1372,Comedy
1373,Comedy
1374,Adventure
1375,Comedy
1376,Comedy
1377,Comedy
1378,Drama
1379,Biography
1380,Comedy
1381,Adventure
1382,Romance
1383,Mystery
1384,Action
1385,Action
1386,Comedy
1387,Action
1388,Drama
1389,Horror
1390,Comedy
1391,Comedy
1392,Drama
1393,Comedy
1394,Action
1395,Comedy
1396,Drama
1397,Comedy
1398,Comedy
1399,Horror
1400,Drama
1401,Drama
1402,Crime
1403,Crime
1404,Horror
1405,Crime
1406,Drama
1407,Comedy
1408,Action
1409,Drama
1410,Comedy
1411,Comedy
1412,Crime
1413,Comedy
1414,Action
1415,Comedy
1416,Drama
1417,Drama
1418,Comedy
1419,Drama
1420,Comedy
1421,Action
1422,Thriller
1423,Drama
1424,Drama
1425,Biography
1426,Drama
1427,Crime
1428,Drama
1429,Drama
1430,Drama
1431,Drama
1432,Action
1433,Comedy
1434,Drama
1435,Drama
1436,Comedy
1437,Comedy
1438,Comedy
1439,Biography
1440,Action
1441,Comedy
1442,Drama
1443,Drama
1444,Action
1445,Action
1446,Action
1447,Adventure
1448,Drama
1449,Comedy
1450,Animation
1451,Adventure
1452,Adventure
1453,Comedy
1454,Adventure
1455,Comedy
1456,Adventure
1457,Action
1458,Drama
1459,Comedy
1460,Comedy
1461,Comedy
1462,Fantasy
1463,Comedy
1464,Action
1465,Action
1466,Biography
1467,Biography
1468,Comedy
1469,Action
1470,Comedy
1471,Comedy
1472,Comedy
1473,Action
1474,Comedy
1475,Comedy
1476,Action
1477,Crime
1478,Action
1479,Comedy
1480,Action
1481,Action
1482,Biography
1483,Comedy
1484,Drama
1485,Adventure
1486,Adventure
1487,Comedy
1488,Comedy
1489,Action
1490,Comedy
1491,Animation
1492,Action
1493,Drama
1494,Adventure
1495,Action
1496,Horror
1497,Action
1498,Action
1499,Adventure
1500,Drama
1501,Crime
1502,Fantasy
1503,Comedy
1504,Horror
1505,Action
1506,Crime
1507,Comedy
1508,Action
1509,Drama
1510,Action
1511,Comedy
1512,Adventure
1513,Comedy
1514,Drama
1515,Drama
1516,Comedy
1517,Comedy
1518,Action
1519,Drama
1520,Comedy
1521,Comedy
1522,Biography
1523,Action
1524,Action
1525,Comedy
1526,Biography
1527,Comedy
1528,Comedy
1529,Action
1530,Comedy
1531,Comedy
1532,Action
1533,Comedy
1534,Drama
1535,Comedy
1536,Comedy
1537,Drama
1538,Animation
1539,Action
1540,Biography
1541,Comedy
1542,Comedy
1543,Action
1544,Action
1545,Action
1546,Comedy
1547,Crime
1548,Comedy
1549,Action
1550,Biography
1551,Comedy
1552,Comedy
1553,Action
1554,Action
1555,Action
1556,Action
1557,Action
1558,Crime
1559,Comedy
1560,Biography
1561,Horror
1562,Drama
1563,Comedy
1564,Comedy
1565,Drama
1566,Comedy
1567,Action
1568,Comedy
1569,Drama
1570,Comedy
1571,Drama
1572,Animation
1573,Drama
1574,Comedy
1575,Drama
1576,Drama
1577,Comedy
1578,Biography
1579,Comedy
1580,Crime
1581,Horror
1582,Comedy
1583,Action
1584,Action
1585,Crime
1586,Drama
1587,Action
1588,Action
1589,Drama
1590,Comedy
1591,Drama
1592,Comedy
1593,Drama
1594,Biography
1595,Drama
1596,Drama
1597,Action
1598,Horror
1599,Action
1600,Comedy
1601,Action
1602,Comedy
1603,Comedy
1604,Horror
1605,Action
1606,Drama
1607,Fantasy
1608,Drama
1609,Drama
1610,Drama
1611,Comedy
1612,Action
1613,Crime
1614,Comedy
1615,Horror
1616,Adventure
1617,Comedy
1618,Crime
1619,Adventure
1620,Crime
1621,Adventure
1622,Crime
1623,Drama
1624,Comedy
1625,Comedy
1626,Comedy
1627,Comedy
1628,Comedy
1629,Action
1630,Action
1631,Comedy
1632,Comedy
1633,Comedy
1634,Crime
1635,Biography
1636,Drama
1637,Comedy
1638,Comedy
1639,Comedy
1640,Comedy
1641,Comedy
1642,Adventure
1643,Action
1644,Biography
1645,Crime
1646,Action
1647,Comedy
1648,Comedy
1649,Drama
1650,Adventure
1651,Comedy
1652,Action
1653,Drama
1654,Action
1655,Comedy
1656,Action
1657,Drama
1658,Action
1659,Action
1660,Biography
1661,Drama
1662,Comedy
1663,Action
1664,Action
1665,Adventure
1666,Drama
1667,Adventure
1668,Action
1669,Crime
1670,Comedy
1671,Mystery
1672,Comedy
1673,Action
1674,Crime
1675,Comedy
1676,Drama
1677,Action
1678,Crime
1679,Action
1680,Adventure
1681,Action
1682,Comedy
1683,Horror
1684,Comedy
1685,Comedy
1686,Drama
1687,Crime
1688,Drama
1689,Action
1690,Action
1691,Crime
1692,Action
1693,Crime
1694,Comedy
1695,Comedy
1696,Crime
1697,Comedy
1698,Animation
1699,Comedy
1700,Action
1701,Horror
1702,Thriller
1703,Comedy
1704,Biography
1705,Action
1706,Comedy
1707,Drama
1708,Adventure
1709,Action
1710,Horror
1711,Biography
1712,Comedy
1713,Action
1714,Action
1715,Action
1716,Action
1717,Action
1718,Comedy
1719,Drama
1720,Action
1721,Comedy
1722,Action
1723,Action
1724,Drama
1725,Biography
1726,Comedy
1727,Sci-Fi
1728,Comedy
1729,Comedy
1730,Action
1731,Biography
1732,Action
1733,Horror
1734,Adventure
1735,Action
1736,Drama
1737,Drama
1738,Comedy
1739,Drama
1740,Comedy
1741,Comedy
1742,Comedy
1743,Action
1744,Comedy
1745,Comedy
1746,Drama
1747,Comedy
1748,Comedy
1749,Drama
1750,Comedy
1751,Drama
1752,Animation
1753,Drama
1754,Comedy
1755,Animation
1756,Adventure
1757,Drama
1758,Action
1759,Comedy
1760,Comedy
1761,Drama
1762,Drama
1763,Comedy
1764,Action
1765,Comedy
1766,Drama
1767,Crime
1768,Comedy
1769,Comedy
1770,Crime
1771,Action
1772,Action
1773,Drama
1774,Drama
1775,Horror
1776,Comedy
1777,Comedy
1778,Comedy
1779,Action
1780,Drama
1781,Adventure
1782,Horror
1783,Drama
1784,Comedy
1785,Comedy
1786,Comedy
1787,Comedy
1788,Drama
1789,Comedy
1790,Crime
1791,Biography
1792,Drama
1793,Action
1794,Comedy
1795,Action
1796,Comedy
1797,Comedy
1798,Drama
1799,Drama
1800,Adventure
1801,Comedy
1802,Comedy
1803,Horror
1804,Comedy
1805,Adventure
1806,Biography
1807,Action
1808,Drama
1809,Drama
1810,Action
1811,Comedy
1812,Drama
1813,Comedy
1814,Comedy
1815,Action
1816,Action
1817,Comedy
1818,Action
1819,Fantasy
1820,Drama
1821,Drama
1822,Drama
1823,Comedy
1824,Comedy
1825,Action
1826,Drama
1827,Comedy
1828,Comedy
1829,Drama
1830,Comedy
1831,Comedy
1832,Drama
1833,Drama
1834,Horror
1835,Drama
1836,Comedy
1837,Crime
1838,Drama
1839,Action
1840,Crime
1841,Drama
1842,Comedy
1843,Comedy
1844,Action
1845,Action
1846,Crime
1847,Adventure
1848,Crime
1849,Crime
1850,Comedy
1851,Comedy
1852,Adventure
1853,Drama
1854,Action
1855,Biography
1856,Animation
1857,Drama
1858,Drama
1859,Action
1860,Comedy
1861,Action
1862,Adventure
1863,Comedy
1864,Comedy
1865,Comedy
1866,Comedy
1867,Comedy
1868,Drama
1869,Drama
1870,Adventure
1871,Action
1872,Action
1873,Drama
1874,Comedy
1875,Action
1876,Action
1877,Drama
1878,Comedy
1879,Comedy
1880,Comedy
1881,Drama
1882,Action
1883,Comedy
1884,Action
1885,Comedy
1886,Drama
1887,Drama
1888,Action
1889,Action
1890,Comedy
1891,Drama
1892,Biography
1893,Comedy
1894,Comedy
1895,Comedy
1896,Horror
1897,Fantasy
1898,Comedy
1899,Drama
1900,Action
1901,Action
1902,Drama
1903,Action
1904,Drama
1905,Action
1906,Drama
1907,Comedy
1908,Action
1909,Comedy
1910,Action
1911,Action
1912,Comedy
1913,Action
1914,Crime
1915,Action
1916,Animation
1917,Drama
1918,Animation
1919,Comedy
1920,Comedy
1921,Crime
1922,Drama
1923,Crime
1924,Comedy
1925,Comedy
1926,Drama
1927,Comedy
