,Unnamed: 0,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Metascore,imdbRating,BoxOffice,Production
57,57,Antlers,2021,R,29 Oct 2021,99 min,"Drama, Horror, Mystery",Scott Cooper,"Henry Chaisson, Nick Antosca, Scott Cooper","Keri Russell, Jesse Plemons, Jeremy T. Thomas","English, Ojibwa",57.0,5.9,"$10,619,670",0
58,58,Cry Macho,2021,PG-13,17 Sep 2021,104 min,"Drama, Thriller",Clint Eastwood,"Nick Schenk, N. Richard Nash","Clint Eastwood, Dwight Yoakam, Daniel V. Graulau","English, Spanish, American Sign ",58.0,5.7,"$10,310,734",0
59,59,Last Night in Soho,2021,R,29 Oct 2021,116 min,"Drama, Horror, Mystery",Edgar Wright,"Edgar Wright, Krysty Wilson-Cairns","Thomasin McKenzie, Anya Taylor-Joy, Matt Smith",English,65.0,7.2,"$10,127,625",0
60,60,Belfast,2021,PG-13,12 Nov 2021,98 min,"Biography, Drama, History",Kenneth Branagh,Kenneth Branagh,"Jude Hill, Lewis McAskie, Caitriona Balfe",English,75.0,7.4,"$7,197,965",0
61,61,The Many Saints of Newark,2021,R,01 Oct 2021,120 min,"Crime, Drama",Alan Taylor,"David Chase, Lawrence Konner","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal","English, Italian, Latin",60.0,6.3,"$8,237,403",0
62,62,The Protégé,2021,R,20 Aug 2021,109 min,"Action, Thriller",Martin Campbell,Richard Wenk,"Michael Keaton, Maggie Q, Samuel L. Jackson",English,48.0,6.1,"$7,446,823",0
63,63,Those Who Wish Me Dead,2021,R,14 May 2021,100 min,"Action, Crime, Drama",Taylor Sheridan,"Michael Koryta, Charles Leavitt, Taylor Sheridan","Angelina Jolie, Nicholas Hoult, Finn Little",English,59.0,6.0,"$7,407,200",0
64,64,Spencer,2021,R,05 Nov 2021,117 min,"Biography, Drama",Pablo Larraín,Steven Knight,"Kristen Stewart, Timothy Spall, Jack Nielen",English,76.0,6.8,"$7,086,632",0
65,65,A Journal for Jordan,2021,PG-13,25 Dec 2021,131 min,Drama,Denzel Washington,"Virgil Williams, Charles Monroe King, Dana Canedy","Michael B. Jordan, Chanté Adams, Jalon Christian",English,42.0,5.7,"$6,312,915",0
66,66,Judas and the Black Messiah,2021,R,12 Feb 2021,126 min,"Biography, Drama, History",Shaka King,"Will Berson, Shaka King, Kenneth Lucas","Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons",English,85.0,7.5,"$5,478,009",0
67,67,Roadrunner: A Film About Anthony Bourdain,2021,R,16 Jul 2021,119 min,Documentary,Morgan Neville,0,"Anthony Bourdain, Ottavia Bourdain, David Chang",English,0.0,7.8,"$5,249,970",0
68,68,Copshop,2021,R,17 Sep 2021,107 min,"Action, Crime, Thriller",Joe Carnahan,"Kurt McLeod, Joe Carnahan, Mark Williams","Gerard Butler, Frank Grillo, Alexis Louder",English,61.0,6.2,"$5,213,243",0
69,69,Separation,2021,R,30 Apr 2021,107 min,Horror,William Brent Bell,"Nick Amadeus, Josh Braun","Rupert Friend, Violet McGraw, Madeline Brewer",English,0.0,4.7,"$4,509,143",0
70,70,Boogie,2021,R,05 Mar 2021,90 min,"Drama, Sport",Eddie Huang,Eddie Huang,"Taylor Takahashi, Pamelyn Chee, Jorge Lendeborg Jr.",English,54.0,5.2,"$4,178,620",0
71,71,Reminiscence,2021,PG-13,20 Aug 2021,116 min,"Mystery, Romance, Sci-Fi",Lisa Joy,Lisa Joy,"Hugh Jackman, Rebecca Ferguson, Thandiwe Newton","English, Mandarin, Spanish",46.0,5.9,"$3,900,193",0
72,72,12 Mighty Orphans,2021,PG-13,18 Jun 2021,118 min,"History, Sport",Ty Roberts,"Jim Dent, Ty Roberts, Lane Garrison","Luke Wilson, Vinessa Shaw, Wayne Knight",English,44.0,6.9,"$3,689,637",0
73,73,Pig,2021,R,16 Jul 2021,92 min,"Drama, Mystery, Thriller",Michael Sarnoski,"Vanessa Block, Michael Sarnoski","Nicolas Cage, Alex Wolff, Adam Arkin",English,82.0,7.0,"$3,186,668",0
74,74,The Girl Who Believes in Miracles,2021,PG,02 Apr 2021,100 min,"Drama, Family",Richard Correll,"Richard Correll, G.M. Mercier","Mira Sorvino, Austyn Johnson, Kevin Sorbo",English,0.0,5.4,"$3,163,362",0
75,75,Voyagers,2021,PG-13,09 Apr 2021,108 min,"Adventure, Sci-Fi, Thriller",Neil Burger,Neil Burger,"Colin Farrell, Tye Sheridan, Lily-Rose Depp",English,44.0,5.4,"$3,149,935",0
76,76,The House Next Door: Meet the Blacks 2,2021,R,11 Jun 2021,97 min,"Action, Comedy, Horror",Deon Taylor,"Corey Harrell, Deon Taylor","Mike Epps, Katt Williams, Lil Duval",English,0.0,3.8,"$2,893,660",0
77,77,Here Today,2021,PG-13,07 May 2021,117 min,"Comedy, Drama",Billy Crystal,"Alan Zweibel, Billy Crystal","Billy Crystal, Chad Jennings, Dierdre Friel",English,40.0,6.7,"$2,807,494",0
78,78,Finding You,2021,Not Rated,14 May 2021,0,"Drama, Romance",0,0,"Chris Murphy Smith, Christopher Brian, Phil Kramer",English,0.0,0.0,"$2,676,410",0
79,79,Lamb,2021,R,24 Sep 2021,106 min,"Drama, Fantasy, Horror",Valdimar Jóhannsson,"Sjón, Valdimar Jóhannsson","Noomi Rapace, Hilmir Snær Guðnason, Björn Hlynur Haraldsson",Icelandic,68.0,6.3,"$2,657,850",0
80,80,The Card Counter,2021,R,10 Sep 2021,111 min,"Crime, Drama, Thriller",Paul Schrader,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan",English,77.0,6.3,"$2,577,830",0
81,81,Land,2021,PG-13,12 Feb 2021,89 min,"Adventure, Drama",Robin Wright,"Jesse Chatham, Erin Dignam","Robin Wright, Demián Bichir, Sarah Dawn Pledge",English,61.0,6.7,"$2,404,127",0
82,82,The Eyes of Tammy Faye,2021,PG-13,17 Sep 2021,126 min,"Biography, Drama, Romance",Michael Showalter,"Fenton Bailey, Randy Barbato, Abe Sylvia","Jessica Chastain, Andrew Garfield, Cherry Jones",English,55.0,6.7,"$2,320,649",0
83,83,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,PG-13,02 Jul 2021,118 min,"Documentary, Music",Questlove,0,"Dorinda Drake, Barbara Bland-Acosta, Darryl Lewis",English,96.0,8.1,"$2,170,750",0
84,84,After We Fell,2021,R,22 Oct 2021,98 min,"Drama, Romance",Castille Landon,"Anna Todd, Sharon Soboil","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",English,0.0,4.7,0,0
85,85,The Father,2021,0,21 Mar 2021,0,"Short, Drama",Blake Ridder,Blake Ridder,"Louis James, Stewart Permutt, Blake Ridder",English,0.0,0.0,"$1,926,706",0
86,86,Queen Bees,2021,PG-13,11 Jun 2021,100 min,"Comedy, Drama, Romance",Michael Lembeck,"Donald Martin, Harrison Powell","Ellen Burstyn, Jane Curtin, Loretta Devine",English,52.0,6.2,"$1,782,909",0
87,87,Show Me the Father,2021,PG,10 Sep 2021,91 min,"Documentary, Drama",Rick Altizer,0,"Jim Daly, Jonathan Evans, Tony Evans",English,0.0,6.4,"$1,442,988",0
88,88,Point of View: A Designer Profile,2021,0,14 Mar 2021,0,0,0,0,"Brian Patrick Flynn, Jean Stoffer, Lauren Bradshaw",English,0.0,0.0,"$1,437,938",0
89,89,Titane,2021,R,01 Oct 2021,108 min,"Drama, Horror, Sci-Fi",Julia Ducournau,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio","Vincent Lindon, Agathe Rousselle, Garance Marillier",French,75.0,6.7,"$1,800,000",0
90,90,Together Together,2021,R,23 Apr 2021,90 min,Comedy,Nikole Beckwith,Nikole Beckwith,"Patti Harrison, Ed Helms, Rosalind Chao",English,70.0,6.5,"$1,251,184",0
91,91,Honsla Rakh,2021,0,24 Nov 2021,145 min,"Comedy, Drama, Romance",Amarjit Singh Saron,Rakesh Dhawan,"Diljit Dosanjh, Shehnaaz Gill, Sonam Bajwa",Punjabi,0.0,8.0,"$1,113,723",0
92,92,Wrong Turn,2021,R,26 Feb 2021,109 min,"Horror, Thriller",Mike P. Nelson,Alan B. McElroy,"Charlotte Vega, Adain Bradley, Bill Sage",English,46.0,5.5,"$1,023,086",0
93,93,In the Earth,2021,R,16 Apr 2021,107 min,"Horror, Sci-Fi, Thriller",Ben Wheatley,Ben Wheatley,"Joel Fry, Reece Shearsmith, Hayley Squires",English,63.0,5.2,"$1,038,255",0
94,94,Red Rocket,2021,R,17 Dec 2021,130 min,"Comedy, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Suzanna Son",English,75.0,7.4,"$1,018,532",0
95,95,True to the Game 3,2021,R,03 Dec 2021,98 min,"Romance, Thriller",David Wolfgang,Jeff Robertson,"Malik Barnhardt, Starletta DuPois, Omar Gooding",English,0.0,4.8,"$1,016,725",0
96,96,Long Weekend,2021,R,12 Mar 2021,91 min,"Comedy, Romance",Steve Basilone,Steve Basilone,"Steve Basilone, Jennifer Irwin, Jess Jacobs",English,53.0,6.1,"$855,765",0
97,97,The Jesus Music,2021,PG-13,01 Oct 2021,109 min,Documentary,"Andrew Erwin, Jon Erwin","Jon Erwin, Bekah Hubbell","Kirk Franklin, Amy Grant, Kevin Max",English,42.0,7.0,"$844,743",0
98,98,Witnesses,2021,PG,04 Jun 2021,110 min,"Action, Adventure, Drama",Mark Goodman,Mitch Davis,"Michael Zuccola, Caleb J. Spivak, Lincoln Hoppe",English,0.0,4.2,"$836,536",0
99,99,The Alpinist,2021,PG-13,10 Sep 2021,92 min,Documentary,"Peter Mortimer, Nick Rosen",0,"Marc-André Leclerc, Peter Mortimer, Alex Honnold",English,67.0,8.0,"$738,175",0
100,100,The Mauritanian,2021,R,02 Mar 2021,129 min,"Biography, Drama, Thriller",Kevin Macdonald,"Michael Bronner, Rory Haines, Sohrab Noshirvani","Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud","English, French, Arabic, German",53.0,7.5,"$1,060,556",0
101,101,Blue Bayou,2021,R,17 Sep 2021,117 min,Drama,Justin Chon,Justin Chon,"Justin Chon, Alicia Vikander, Mark O'Brien",English,58.0,7.1,"$744,813",0
102,102,The Rescue,2021,PG,08 Oct 2021,107 min,"Documentary, Action, Mystery","Jimmy Chin, Elizabeth Chai Vasarhelyi",0,"Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan",English,0.0,8.4,"$637,665",0
103,103,Lamb of God: The Concert Film,2021,0,12 Mar 2021,90 min,Musical,Rob Gardner,Rob Gardner,"Casey Elliott, Katherine Thomas, Tyler Hardwick",English,0.0,8.5,"$575,783",0
104,104,The Sparks Brothers,2021,R,18 Jun 2021,140 min,"Documentary, Biography, Comedy",Edgar Wright,0,"Ron Mael, Russell Mael, Beck",English,80.0,7.9,"$480,774",0
105,105,Werewolves Within,2021,R,02 Jul 2021,97 min,"Comedy, Horror, Mystery",Josh Ruben,Mishna Wolff,"Sam Richardson, Milana Vayntrub, George Basil",English,66.0,6.0,"$475,488",0
106,106,For the Love of Money,2021,R,20 Oct 2021,99 min,"Drama, Thriller",Leslie Small,"Timothy Allen Smith, Zadia Ife, Leslie Small","Katt Williams, Keri Hilson, Rotimi",English,0.0,6.0,"$470,000",0
107,107,National Champions,2021,R,10 Dec 2021,116 min,"Drama, Sport",Ric Roman Waugh,Adam Mervis,"Stephan James, J.K. Simmons, Alexander Ludwig",English,52.0,5.6,"$445,740",0
108,108,Jathi Ratnalu,2021,0,11 Mar 2021,145 min,Comedy,Anudeep K.V.,Anudeep K.V.,"Naveen Polishetty, Rahul Ramakrishna, Priyadarshi",Telugu,0.0,7.6,"$424,667",0
109,109,The Lost Leonardo,2021,PG-13,13 Aug 2021,96 min,Documentary,Andreas Koefoed,"Andreas Dalsgaard, Christian Kirk Muff, Andreas Koefoed","Jerry Saltz, Robert K. Wittman, Doug Patteson","English, French",79.0,7.6,"$418,286",0
110,110,Flag Day,2021,R,20 Aug 2021,109 min,"Crime, Drama",Sean Penn,"Jez Butterworth, Jennifer Vogel, John-Henry Butterworth","Mitchell McCormick, Tom Anniko, Dylan Penn",English,53.0,4.9,0,0
111,111,Willy's Wonderland,2021,TV-MA,12 Feb 2021,88 min,"Action, Comedy, Horror",Kevin Lewis,G.O. Parsons,"Nicolas Cage, Emily Tosta, Beth Grant",English,44.0,5.5,"$395,743",0
112,112,Dreamland: The Burning of Black Wall Street,2021,0,31 May 2021,98 min,Documentary,Salima Koroma,0,"Alicia Odewale, Hannibal Johnson, Kary Stacklebeck",English,0.0,6.7,"$353,224",0
113,113,Julia,2021,PG-13,18 Mar 2022,95 min,Documentary,"Julie Cohen, Betsy West",0,"José Andrés, Antonietta Brownell, Julia Child",English,71.0,7.6,"$350,000",0
